Wall time,Step,Value
1662489385.996342,0,-0.7256951928138733
1662489397.5402668,1,-0.7247987985610962
1662489400.3434029,2,-0.7388261556625366
1662489403.1808307,3,-0.7238627672195435
1662489406.0146098,4,-0.7269441485404968
1662489408.8326554,5,-0.7396965026855469
1662489411.6425946,6,-0.7323536276817322
1662489414.4640634,7,-0.7433187365531921
1662489417.2907717,8,-0.7350114583969116
1662489420.0935822,9,-0.7490882873535156
1662489422.9171124,10,-0.7535409927368164
1662489425.7820506,11,-0.7355388402938843
1662489428.6111538,12,-0.740200400352478
1662489431.3958921,13,-0.7652831673622131
1662489434.2385654,14,-0.7752772569656372
1662489437.0763977,15,-0.7542113661766052
1662489439.8962889,16,-0.7748940587043762
1662489442.7681935,17,-0.7687373757362366
1662489445.622709,18,-0.7644006013870239
1662489448.4741387,19,-0.7708951234817505
1662489451.298414,20,-0.7635098099708557
1662489454.154769,21,-0.7624068856239319
1662489457.0008733,22,-0.7700417041778564
1662489459.829365,23,-0.7678166031837463
1662489462.6348367,24,-0.7723243832588196
1662489465.4721205,25,-0.7821237444877625
1662489468.3079107,26,-0.7899045348167419
1662489471.4792228,27,-0.7733808755874634
1662489474.3020315,28,-0.7789725661277771
1662489477.1189923,29,-0.7935925126075745
1662489479.978354,30,-0.779080867767334
1662489482.8355749,31,-0.7822122573852539
1662489485.698667,32,-0.7990966439247131
1662489488.530254,33,-0.778151273727417
1662489491.3492796,34,-0.7833977937698364
1662489494.1159444,35,-0.7919408679008484
1662489496.8924227,36,-0.7845486998558044
1662489499.7213316,37,-0.8112272024154663
1662489502.4687743,38,-0.8089886903762817
1662489505.317606,39,-0.8208627700805664
1662489508.1867836,40,-0.8179543018341064
1662489511.032004,41,-0.812349259853363
1662489513.875109,42,-0.8106135129928589
1662489516.6945324,43,-0.8303594589233398
1662489519.5253985,44,-0.8224095106124878
1662489522.3355744,45,-0.8282926082611084
1662489525.1330237,46,-0.8298708200454712
1662489527.9660075,47,-0.8498072028160095
1662489530.8017452,48,-0.8500869274139404
1662489533.6206758,49,-0.8577441573143005
1662489536.4812245,50,-0.8507473468780518
