Wall time,Step,Value
1664363929.6306005,0,-0.7346494197845459
1664363933.2642527,1,-0.7524611949920654
1664363933.982769,2,-0.7439810037612915
1664363934.6964219,3,-0.7666798830032349
1664363935.3707986,4,-0.7688794732093811
1664363936.0908844,5,-0.8216331005096436
1664363936.8197367,6,-0.837404727935791
1664363937.5399332,7,-0.8525818586349487
1664363938.2496853,8,-0.9118640422821045
1664363938.9557464,9,-0.9217543601989746
1664363939.6853783,10,-0.9695864319801331
1664363940.4768786,11,-1.018930196762085
1664363941.1958184,12,-1.0886316299438477
1664363941.901582,13,-1.1446807384490967
1664363942.5846357,14,-1.2541518211364746
1664363943.2888937,15,-1.3448354005813599
1664363943.999742,16,-1.3999532461166382
1664363944.7044659,17,-1.5052112340927124
1664363945.3803458,18,-1.6530462503433228
1664363946.0669825,19,-1.73516047000885
1664363946.7633634,20,-1.8603750467300415
1664363947.443149,21,-2.0009641647338867
1664363948.142869,22,-2.165975332260132
1664363948.8440182,23,-2.257481336593628
1664363949.5406291,24,-2.369830369949341
1664363950.230783,25,-2.463102102279663
1664363950.9150567,26,-2.549649953842163
1664363951.5978248,27,-2.6324586868286133
1664363952.314305,28,-2.6846554279327393
1664363953.0088346,29,-2.755756378173828
1664363953.6754346,30,-2.797942876815796
1664363954.345279,31,-2.8612170219421387
1664363955.0162468,32,-2.885254144668579
1664363955.6826136,33,-2.9239699840545654
1664363956.373526,34,-2.940429449081421
1664363957.064937,35,-2.9537761211395264
1664363957.7527208,36,-2.98018479347229
1664363958.4551969,37,-2.9976561069488525
1664363959.1488616,38,-2.9984800815582275
1664363959.8317907,39,-3.005474805831909
1664363960.5100045,40,-3.007949113845825
1664363961.198928,41,-3.020979166030884
1664363961.889001,42,-3.022364377975464
1664363962.5552576,43,-3.026348352432251
1664363963.2403374,44,-3.0265984535217285
1664363963.9280887,45,-3.0338845252990723
1664363964.6060905,46,-3.0387589931488037
1664363965.3040948,47,-3.0390384197235107
1664363965.9857242,48,-3.0369043350219727
1664363966.663954,49,-3.0351529121398926
1664363967.3484406,50,-3.038135290145874
1664363968.0603895,51,-3.0408904552459717
1664363968.763221,52,-3.0396835803985596
1664363969.4573095,53,-3.0393149852752686
1664363970.145764,54,-3.0389013290405273
1664363970.8467658,55,-3.0407493114471436
1664363971.5148726,56,-3.039973497390747
1664363972.2163699,57,-3.0393288135528564
1664363972.9334986,58,-3.040156364440918
1664363973.631433,59,-3.0399322509765625
1664363974.2875323,60,-3.0411927700042725
1664363974.9496665,61,-3.0409252643585205
1664363975.6243234,62,-3.0411055088043213
1664363976.2877345,63,-3.0407748222351074
1664363976.993619,64,-3.040266513824463
1664363977.6628606,65,-3.0409047603607178
1664363978.3609912,66,-3.0406417846679688
1664363979.032257,67,-3.041200876235962
1664363979.7302306,68,-3.040778398513794
1664363980.4123635,69,-3.0406405925750732
1664363981.1165113,70,-3.0412824153900146
1664363981.8022065,71,-3.041038751602173
1664363982.474669,72,-3.040614128112793
1664363983.1315196,73,-3.0408244132995605
1664363983.7917097,74,-3.041030168533325
1664363984.4675708,75,-3.0407791137695312
1664363985.139893,76,-3.0407609939575195
1664363985.8352468,77,-3.0406596660614014
1664363986.4996161,78,-3.040759325027466
1664363987.1814055,79,-3.0407350063323975
1664363987.8732483,80,-3.040998697280884
1664363988.5620465,81,-3.0408995151519775
1664363989.266217,82,-3.0410873889923096
1664363989.949814,83,-3.0408012866973877
1664363990.6445205,84,-3.040754556655884
1664363991.304999,85,-3.040741205215454
1664363992.0107713,86,-3.0410807132720947
1664363992.704863,87,-3.0408935546875
1664363993.3658469,88,-3.04069447517395
1664363994.0676231,89,-3.0407822132110596
1664363994.7409458,90,-3.0410854816436768
1664363995.4393945,91,-3.0407447814941406
1664363996.1094313,92,-3.040753126144409
1664363996.7944624,93,-3.0407538414001465
1664363997.469013,94,-3.0408613681793213
1664363998.1389456,95,-3.041238784790039
1664363998.8247848,96,-3.0409750938415527
1664363999.5054014,97,-3.0406887531280518
1664364000.1946623,98,-3.0409224033355713
1664364000.8975077,99,-3.0409514904022217
1664364001.5756378,100,-3.0407495498657227
1664364002.2903092,101,-3.040822982788086
1664364002.9768667,102,-3.040712833404541
1664364003.6475592,103,-3.04069185256958
1664364004.3333805,104,-3.04069185256958
1664364005.0295186,105,-3.040806293487549
1664364005.7089152,106,-3.0407259464263916
1664364006.381187,107,-3.041045904159546
1664364007.061435,108,-3.0408520698547363
1664364007.7515051,109,-3.040890693664551
1664364008.427397,110,-3.0409915447235107
1664364009.1002831,111,-3.040695905685425
1664364009.7742298,112,-3.0408289432525635
1664364010.47634,113,-3.0407257080078125
1664364011.1581933,114,-3.0407207012176514
1664364011.8562987,115,-3.040696620941162
1664364012.5667424,116,-3.0406856536865234
1664364013.2449718,117,-3.040783405303955
1664364013.9226923,118,-3.0407116413116455
1664364014.6062407,119,-3.0410044193267822
1664364015.2819831,120,-3.0411176681518555
1664364015.9840283,121,-3.040806770324707
1664364016.6879785,122,-3.040806770324707
1664364017.3848605,123,-3.0407052040100098
1664364018.0761535,124,-3.041086196899414
1664364018.7679536,125,-3.040893316268921
1664364019.4413033,126,-3.0409061908721924
1664364020.1394706,127,-3.040902853012085
1664364020.801763,128,-3.040928840637207
1664364021.4947093,129,-3.041011095046997
1664364022.1771538,130,-3.0407066345214844
1664364022.8713734,131,-3.040780782699585
1664364023.5415752,132,-3.0410029888153076
1664364024.2261634,133,-3.0407230854034424
1664364024.900292,134,-3.040799856185913
1664364025.5889053,135,-3.0407981872558594
1664364026.2924523,136,-3.04081130027771
1664364026.9809072,137,-3.0407893657684326
1664364027.6667733,138,-3.04081130027771
1664364028.3470135,139,-3.041114568710327
1664364029.0409184,140,-3.040717840194702
1664364029.7226982,141,-3.04070782661438
1664364030.384012,142,-3.0408191680908203
1664364031.072801,143,-3.0410361289978027
1664364031.7718287,144,-3.041010856628418
1664364032.4769769,145,-3.041213274002075
1664364033.1556518,146,-3.041114091873169
1664364033.815897,147,-3.041012763977051
