Wall time,Step,Value
1664364495.8755207,0,-0.7655091285705566
1664364504.9001021,1,-0.7793704271316528
1664364506.4658496,2,-0.7971615195274353
1664364508.1300695,3,-0.7794498801231384
1664364509.6739542,4,-0.7849189639091492
1664364511.2488236,5,-0.800206184387207
1664364512.8011057,6,-0.8083898425102234
1664364514.3463764,7,-0.848825216293335
1664364515.904868,8,-0.8530896306037903
1664364517.486387,9,-0.8526524305343628
1664364519.0715673,10,-0.8991793990135193
1664364520.6547291,11,-0.9137954115867615
1664364522.2572372,12,-0.9339205622673035
1664364523.8220735,13,-0.9588150978088379
1664364525.2923603,14,-0.990937352180481
1664364526.8305845,15,-1.022085428237915
1664364528.4476874,16,-1.0544694662094116
1664364529.965374,17,-1.043190836906433
1664364531.5037606,18,-1.057510495185852
1664364533.0777938,19,-1.0755120515823364
1664364534.6224687,20,-1.1220899820327759
1664364536.289223,21,-1.1413202285766602
1664364537.7839482,22,-1.1577835083007812
1664364539.3152344,23,-1.189818263053894
1664364540.856306,24,-1.195123314857483
1664364542.4144845,25,-1.2659170627593994
1664364543.9099383,26,-1.2482683658599854
1664364545.4701214,27,-1.2852802276611328
1664364547.0295954,28,-1.3170878887176514
1664364548.578649,29,-1.3543163537979126
1664364550.1211464,30,-1.3774302005767822
1664364551.6920965,31,-1.4421156644821167
1664364553.2436433,32,-1.4379429817199707
1664364554.8067384,33,-1.4688291549682617
1664364556.3506114,34,-1.4912923574447632
1664364557.9092844,35,-1.5415360927581787
1664364559.4166617,36,-1.5863795280456543
1664364560.9626272,37,-1.6178261041641235
1664364562.5214922,38,-1.6163471937179565
1664364564.1672246,39,-1.6276613473892212
1664364565.707098,40,-1.6836059093475342
1664364567.2199497,41,-1.7267652750015259
1664364568.7745574,42,-1.7267749309539795
1664364570.2905834,43,-1.7829828262329102
1664364571.8153324,44,-1.8168938159942627
1664364573.366011,45,-1.8680979013442993
1664364574.918502,46,-1.8938953876495361
1664364576.4618099,47,-1.9364113807678223
1664364577.9952824,48,-1.9869680404663086
1664364579.5777023,49,-2.0221827030181885
1664364581.090773,50,-2.0564050674438477
1664364582.63549,51,-2.1150290966033936
1664364584.127146,52,-2.130089044570923
1664364585.6546385,53,-2.1557528972625732
1664364587.2005959,54,-2.219282388687134
1664364588.8606122,55,-2.245441198348999
1664364590.44978,56,-2.313839912414551
1664364591.994544,57,-2.3477814197540283
1664364593.544856,58,-2.4192464351654053
1664364595.1078517,59,-2.447983503341675
1664364596.6723504,60,-2.5216848850250244
1664364598.2312906,61,-2.5062453746795654
1664364599.7804205,62,-2.607206344604492
