Wall time,Step,Value
1664365749.587844,0,-0.8457112312316895
1664365758.4888535,1,-0.8562417030334473
1664365760.056209,2,-0.8781741857528687
1664365761.6864145,3,-0.9042200446128845
1664365763.3232245,4,-0.9274522662162781
1664365764.9129062,5,-0.9210988283157349
1664365766.4964707,6,-0.9510869979858398
1664365768.1358297,7,-0.9785194993019104
1664365769.7462997,8,-0.9675772190093994
1664365771.3161747,9,-1.0064696073532104
1664365772.9143753,10,-1.0247204303741455
1664365774.661858,11,-1.026371717453003
1664365776.2559896,12,-1.0747812986373901
1664365777.8794274,13,-1.0795973539352417
1664365779.4774718,14,-1.0899028778076172
1664365781.0940874,15,-1.1200145483016968
1664365782.7132645,16,-1.1538337469100952
1664365784.3093376,17,-1.1503480672836304
1664365785.903297,18,-1.157138466835022
1664365787.4472537,19,-1.2082453966140747
1664365789.067101,20,-1.217060923576355
1664365790.7079983,21,-1.2112246751785278
1664365792.3385413,22,-1.2292370796203613
1664365793.9476671,23,-1.273592472076416
1664365795.556352,24,-1.3039110898971558
1664365797.1235776,25,-1.330610990524292
1664365798.6657019,26,-1.336878776550293
1664365800.1982932,27,-1.3795835971832275
1664365801.7642817,28,-1.3910077810287476
1664365803.361547,29,-1.4062999486923218
1664365804.9619818,30,-1.4544845819473267
1664365806.5848908,31,-1.4595848321914673
1664365808.180372,32,-1.4896023273468018
1664365809.7893405,33,-1.51776921749115
1664365811.446019,34,-1.516709566116333
1664365813.0411882,35,-1.5524569749832153
1664365814.8148267,36,-1.596280813217163
1664365816.406484,37,-1.648422122001648
1664365818.0131621,38,-1.6448683738708496
1664365819.6511986,39,-1.6593378782272339
1664365821.2902045,40,-1.6979546546936035
1664365822.8492396,41,-1.7366478443145752
1664365824.4341378,42,-1.725013256072998
1664365826.0458152,43,-1.7770912647247314
1664365827.6800578,44,-1.8182977437973022
1664365829.2548113,45,-1.8134945631027222
1664365830.9124427,46,-1.8677668571472168
1664365832.5418885,47,-1.8845635652542114
1664365834.145569,48,-1.8971388339996338
1664365835.7472067,49,-1.903471827507019
1664365837.3151255,50,-1.9496346712112427
1664365838.9289389,51,-2.0002598762512207
