Wall time,Step,Value
1664375104.405132,0,-0.7180197238922119
1664375111.8294775,1,-0.7275223731994629
1664375116.4800599,2,-0.7385244369506836
1664375121.389973,3,-0.7447643876075745
1664375126.0411358,4,-0.7619161009788513
1664375130.7481976,5,-0.773776650428772
1664375135.3773317,6,-0.7985013127326965
1664375140.0914412,7,-0.7982194423675537
1664375144.7257998,8,-0.8199701905250549
1664375149.412357,9,-0.8361731171607971
1664375154.110776,10,-0.8503540754318237
1664375158.7725134,11,-0.8652672171592712
1664375163.4569714,12,-0.8808278441429138
1664375168.174173,13,-0.8903052806854248
1664375172.8420713,14,-0.8938075304031372
1664375177.5433538,15,-0.917780876159668
1664375182.2537398,16,-0.9493672847747803
1664375186.9425426,17,-0.9413950443267822
1664375191.521473,18,-0.9544747471809387
1664375196.1988952,19,-0.9836297035217285
1664375200.8710792,20,-0.9907063245773315
1664375205.5754895,21,-0.9586493968963623
1664375210.2287986,22,-1.0008262395858765
1664375214.934803,23,-1.020961046218872
1664375219.6442275,24,-1.0263018608093262
1664375224.3517208,25,-1.029093623161316
1664375229.2946317,26,-1.0423978567123413
1664375233.9716647,27,-1.062777042388916
1664375238.6520033,28,-1.0799599885940552
1664375243.329171,29,-1.0768283605575562
1664375248.0078282,30,-1.0842280387878418
1664375252.7003307,31,-1.1188960075378418
1664375257.3867948,32,-1.129278540611267
1664375262.0993073,33,-1.13093900680542
1664375266.7564924,34,-1.1359422206878662
1664375271.4473996,35,-1.1733850240707397
1664375276.1253605,36,-1.192498803138733
1664375280.785974,37,-1.2049624919891357
1664375285.465311,38,-1.2052613496780396
1664375290.1549537,39,-1.2212119102478027
1664375294.7838843,40,-1.2426502704620361
1664375299.4643607,41,-1.264182209968567
1664375304.0672505,42,-1.2761281728744507
1664375308.7752366,43,-1.276192545890808
1664375313.3862457,44,-1.3020168542861938
1664375318.0666592,45,-1.3232815265655518
1664375322.745009,46,-1.3317145109176636
1664375327.4266253,47,-1.3361632823944092
1664375332.1172416,48,-1.349027395248413
1664375336.9995136,49,-1.389548659324646
1664375341.7245264,50,-1.4094542264938354
1664375346.4180393,51,-1.425485610961914
1664375351.0864522,52,-1.4540371894836426
1664375355.7394762,53,-1.4753855466842651
1664375360.3518562,54,-1.5004467964172363
1664375365.0293863,55,-1.500353455543518
1664375369.7366967,56,-1.5121848583221436
1664375374.4367673,57,-1.5372062921524048
1664375379.06103,58,-1.5979052782058716
1664375383.687919,59,-1.6025336980819702
1664375388.38206,60,-1.6135972738265991
1664375393.0309598,61,-1.6543041467666626
1664375397.7103434,62,-1.644120216369629
1664375402.3965294,63,-1.6714173555374146
1664375407.0927663,64,-1.7190473079681396
1664375411.7586226,65,-1.7356377840042114
1664375416.443345,66,-1.7744523286819458
1664375421.1268945,67,-1.7639816999435425
1664375425.7111728,68,-1.8219560384750366
1664375430.3823102,69,-1.8543428182601929
1664375435.0130093,70,-1.8678569793701172
1664375439.6600301,71,-1.8913172483444214
1664375444.5488784,72,-1.9365066289901733
1664375449.2144592,73,-1.9398305416107178
1664375453.9290166,74,-1.9652899503707886
1664375458.6155407,75,-1.9791556596755981
