Wall time,Step,Value
1664367048.0078335,0,-0.7395945191383362
1664367052.1137636,1,-0.7580711245536804
1664367053.717115,2,-0.8019924163818359
1664367055.3034997,3,-0.8094878196716309
1664367056.8950002,4,-0.8400171399116516
1664367058.5733373,5,-0.8624988198280334
1664367060.1593397,6,-0.903239369392395
1664367061.7397757,7,-0.9222238063812256
1664367063.318878,8,-0.9728113412857056
1664367064.846748,9,-0.9749319553375244
1664367066.3997207,10,-1.008005142211914
1664367067.9906907,11,-1.0376977920532227
1664367069.597136,12,-1.06345796585083
1664367071.2124012,13,-1.0950589179992676
1664367072.8341498,14,-1.1208466291427612
1664367074.4542449,15,-1.1438384056091309
1664367076.0933897,16,-1.1976697444915771
1664367077.7206483,17,-1.2045661211013794
1664367079.3016815,18,-1.2189987897872925
1664367080.8918357,19,-1.2868058681488037
1664367082.385615,20,-1.3074756860733032
1664367083.8748467,21,-1.3258177042007446
1664367085.4364665,22,-1.3805631399154663
1664367087.005211,23,-1.4439120292663574
1664367088.6196697,24,-1.4716418981552124
1664367090.244517,25,-1.5152722597122192
1664367091.8442233,26,-1.5647289752960205
1664367093.5848467,27,-1.6266045570373535
1664367095.150956,28,-1.6860548257827759
1664367096.7177289,29,-1.7452197074890137
1664367098.320079,30,-1.7892922163009644
1664367099.934068,31,-1.9081240892410278
1664367101.5404723,32,-1.9482178688049316
1664367103.1198575,33,-2.0101215839385986
1664367104.7045634,34,-2.0901925563812256
1664367106.3157327,35,-2.169422149658203
1664367107.94417,36,-2.267814874649048
1664367109.517034,37,-2.3777239322662354
1664367111.1306655,38,-2.4178214073181152
1664367112.7410626,39,-2.5074944496154785
1664367114.352428,40,-2.6162116527557373
1664367115.9464128,41,-2.654074192047119
1664367117.451278,42,-2.697310447692871
1664367118.9820344,43,-2.776291608810425
1664367120.606942,44,-2.8163540363311768
1664367122.2230062,45,-2.8684751987457275
1664367123.833728,46,-2.874702215194702
1664367125.434557,47,-2.9017651081085205
1664367127.003106,48,-2.948225498199463
1664367128.717223,49,-2.9620137214660645
1664367130.3300123,50,-2.991485834121704
1664367131.921277,51,-2.9888715744018555
1664367133.5535643,52,-3.0002996921539307
1664367135.1540093,53,-2.998405694961548
1664367136.740297,54,-3.0178000926971436
1664367138.3621054,55,-3.024060010910034
1664367139.9173186,56,-3.0194032192230225
1664367141.5165915,57,-3.027884006500244
1664367143.1378233,58,-3.030021905899048
1664367144.7572203,59,-3.023801803588867
1664367146.3825574,60,-3.0350098609924316
1664367147.9796474,61,-3.023245334625244
1664367149.5735147,62,-3.0334296226501465
1664367151.1549368,63,-3.035801410675049
1664367152.8121676,64,-3.030921220779419
1664367154.427777,65,-3.030953884124756
1664367156.0280352,66,-3.0378506183624268
1664367157.6410732,67,-3.035402536392212
1664367159.2697892,68,-3.031989574432373
1664367160.8587577,69,-3.0336828231811523
1664367162.4781463,70,-3.0376527309417725
1664367164.2252138,71,-3.040428876876831
1664367165.8401752,72,-3.039919376373291
1664367167.4637647,73,-3.038398504257202
1664367169.0459082,74,-3.038045644760132
1664367170.613619,75,-3.0382325649261475
1664367172.2235456,76,-3.0339276790618896
1664367173.8039818,77,-3.0323212146759033
1664367175.3661053,78,-3.035433769226074
1664367176.9900327,79,-3.0391788482666016
1664367178.5989642,80,-3.040013074874878
1664367180.231252,81,-3.0386898517608643
1664367181.8289506,82,-3.0378265380859375
1664367183.3503985,83,-3.0371484756469727
1664367184.8654206,84,-3.0391573905944824
1664367186.4373868,85,-3.0393731594085693
1664367187.9944735,86,-3.0373270511627197
1664367189.6007242,87,-3.037379741668701
1664367191.2090642,88,-3.038759231567383
1664367192.7569454,89,-3.037980794906616
1664367194.3224452,90,-3.0377724170684814
1664367195.9533467,91,-3.037175416946411
1664367197.5454721,92,-3.0368688106536865
1664367199.2917771,93,-3.03857684135437
1664367200.9375892,94,-3.0363752841949463
1664367202.495795,95,-3.038115978240967
1664367204.1004345,96,-3.038522243499756
1664367205.6899207,97,-3.038961172103882
1664367207.2878113,98,-3.0351226329803467
1664367208.846767,99,-3.0387933254241943
1664367210.3671467,100,-3.034658432006836
1664367211.9382448,101,-3.0390028953552246
1664367213.511153,102,-3.0390865802764893
1664367215.0650604,103,-3.0390923023223877
1664367216.6598175,104,-3.038816452026367
1664367218.2619991,105,-3.0400583744049072
1664367219.8489678,106,-3.038393974304199
1664367221.453797,107,-3.0388684272766113
1664367222.9914765,108,-3.0378258228302
1664367224.5151467,109,-3.03958797454834
1664367226.1035273,110,-3.038890838623047
1664367227.702709,111,-3.0369904041290283
1664367229.2886713,112,-3.0372719764709473
1664367230.9143198,113,-3.0410282611846924
1664367232.5317712,114,-3.039398193359375
1664367234.315737,115,-3.04091215133667
1664367235.9193568,116,-3.0401954650878906
1664367237.5560396,117,-3.040945291519165
1664367239.1563535,118,-3.0406501293182373
1664367240.7950842,119,-3.0394246578216553
1664367242.4295168,120,-3.0399856567382812
1664367244.0282488,121,-3.038717031478882
1664367245.5938826,122,-3.03971004486084
1664367247.1158626,123,-3.0400431156158447
1664367248.6384726,124,-3.0377585887908936
1664367250.2160137,125,-3.038921356201172
1664367251.7663116,126,-3.0403506755828857
1664367253.3027692,127,-3.0405666828155518
1664367254.8726614,128,-3.0410280227661133
1664367256.4914584,129,-3.0392706394195557
1664367258.0855181,130,-3.041102409362793
1664367259.7116294,131,-3.0409040451049805
1664367261.232039,132,-3.039712905883789
1664367262.7470267,133,-3.039325475692749
1664367264.3737898,134,-3.0392606258392334
1664367266.0247455,135,-3.0386040210723877
1664367267.6162848,136,-3.0372049808502197
1664367269.393059,137,-3.039384365081787
1664367271.0337887,138,-3.038416624069214
1664367272.6319292,139,-3.0405564308166504
1664367274.2519386,140,-3.036018133163452
1664367275.857555,141,-3.0402588844299316
1664367277.4861538,142,-3.0401875972747803
1664367279.1021101,143,-3.0392673015594482
1664367280.702206,144,-3.039999008178711
1664367282.23226,145,-3.0374112129211426
1664367283.803119,146,-3.041069269180298
1664367285.4176805,147,-3.036526918411255
1664367286.9878013,148,-3.039544105529785
1664367288.605825,149,-3.0409982204437256
1664367290.2015967,150,-3.036994695663452
1664367291.8009357,151,-3.040245294570923
1664367293.3353229,152,-3.03688645362854
1664367294.9428716,153,-3.03859543800354
1664367296.5502136,154,-3.0389811992645264
1664367298.1346736,155,-3.040269374847412
1664367299.7378488,156,-3.04008412361145
1664367301.3083246,157,-3.0397791862487793
1664367302.9036584,158,-3.0419504642486572
1664367304.6501384,159,-3.038227081298828
1664367306.251615,160,-3.0405352115631104
1664367307.8773365,161,-3.038400411605835
1664367309.4335651,162,-3.0395212173461914
1664367311.0661693,163,-3.0388436317443848
1664367312.689303,164,-3.039649724960327
1664367314.32909,165,-3.040795087814331
1664367315.95196,166,-3.037280797958374
1664367317.5655708,167,-3.040264368057251
1664367319.1648622,168,-3.040144920349121
1664367320.7654853,169,-3.0394206047058105
1664367322.405889,170,-3.037984848022461
1664367324.052544,171,-3.039182424545288
1664367325.6388302,172,-3.038975954055786
1664367327.2049956,173,-3.0380401611328125
1664367328.7949955,174,-3.038546085357666
1664367330.3902068,175,-3.041210412979126
1664367331.9848268,176,-3.037558078765869
1664367333.5618498,177,-3.0410830974578857
1664367335.1709878,178,-3.0402307510375977
1664367336.7785358,179,-3.040806293487549
1664367338.412316,180,-3.039170026779175
1664367340.1710646,181,-3.03912091255188
1664367341.7739944,182,-3.0385165214538574
1664367343.417472,183,-3.039597749710083
1664367345.030806,184,-3.0404841899871826
1664367346.645774,185,-3.0405426025390625
1664367348.2645679,186,-3.0403013229370117
1664367349.8995466,187,-3.041073799133301
1664367351.5078604,188,-3.038395881652832
1664367353.060204,189,-3.038983106613159
1664367354.5942597,190,-3.0404698848724365
1664367356.1425593,191,-3.0396511554718018
1664367357.691707,192,-3.040086507797241
1664367359.3361893,193,-3.03867244720459
1664367361.0055768,194,-3.0407347679138184
1664367362.6285396,195,-3.0410094261169434
1664367364.2267005,196,-3.041253089904785
1664367365.8486755,197,-3.0388786792755127
1664367367.4852035,198,-3.038761854171753
1664367369.0612996,199,-3.0387444496154785
1664367370.6851375,200,-3.038745164871216
1664367372.3001971,201,-3.0409374237060547
1664367373.8915708,202,-3.040511131286621
1664367375.618225,203,-3.0385618209838867
1664367377.2087383,204,-3.0384275913238525
1664367378.8058326,205,-3.040041923522949
1664367380.436494,206,-3.038010835647583
1664367382.0346484,207,-3.0391123294830322
1664367383.6475623,208,-3.040937662124634
1664367385.2229667,209,-3.04058575630188
1664367386.81762,210,-3.0409703254699707
1664367388.420688,211,-3.0381791591644287
1664367390.0454555,212,-3.0377368927001953
1664367391.689681,213,-3.039933919906616
1664367393.3351588,214,-3.0397703647613525
1664367394.9234164,215,-3.0412509441375732
1664367396.5140262,216,-3.0400071144104004
1664367398.1194575,217,-3.040303945541382
1664367399.723289,218,-3.0396721363067627
1664367401.3396316,219,-3.0402328968048096
1664367402.8695633,220,-3.039557933807373
1664367404.3791995,221,-3.0408034324645996
1664367405.9630237,222,-3.0400099754333496
1664367407.5758564,223,-3.037482500076294
1664367409.1683824,224,-3.041022777557373
1664367410.8394895,225,-3.0377964973449707
1664367412.4436932,226,-3.0388317108154297
1664367414.035474,227,-3.0390048027038574
1664367415.65486,228,-3.039790630340576
1664367417.2939572,229,-3.039379596710205
1664367418.8993778,230,-3.04046630859375
1664367420.5043144,231,-3.0406572818756104
1664367422.1206605,232,-3.0386040210723877
1664367423.679367,233,-3.040095567703247
1664367425.2946627,234,-3.041140079498291
1664367426.927309,235,-3.0409696102142334
1664367428.5477104,236,-3.0400094985961914
1664367430.1908727,237,-3.039517402648926
1664367431.8006034,238,-3.040421485900879
1664367433.3715599,239,-3.0393919944763184
1664367435.0147126,240,-3.0400021076202393
1664367436.6287155,241,-3.0406665802001953
1664367438.2465322,242,-3.041499376296997
1664367439.846812,243,-3.04018235206604
1664367441.452363,244,-3.040262460708618
1664367443.0309362,245,-3.0383031368255615
1664367444.6145873,246,-3.038989305496216
1664367446.362034,247,-3.039611577987671
1664367447.9598627,248,-3.0391974449157715
1664367449.5637221,249,-3.0411980152130127
1664367451.232006,250,-3.039971351623535
1664367452.8549542,251,-3.0404460430145264
1664367454.4785855,252,-3.0394327640533447
1664367456.0766559,253,-3.039792060852051
1664367457.671449,254,-3.039346218109131
1664367459.289122,255,-3.040347099304199
1664367460.8920815,256,-3.0405802726745605
1664367462.5087032,257,-3.039788246154785
1664367464.0988386,258,-3.0400619506835938
1664367465.7031856,259,-3.0402984619140625
1664367467.307845,260,-3.0390210151672363
1664367468.928018,261,-3.0409908294677734
1664367470.531704,262,-3.040599822998047
1664367472.158707,263,-3.040128231048584
1664367473.763731,264,-3.0401077270507812
1664367475.3964071,265,-3.040443181991577
1664367476.9535093,266,-3.041311740875244
1664367478.4915447,267,-3.03965163230896
1664367479.9946418,268,-3.039262056350708
1664367481.6548553,269,-3.040654420852661
1664367483.2315822,270,-3.040112018585205
1664367484.8139396,271,-3.039421796798706
1664367486.3547194,272,-3.0391592979431152
1664367487.8732834,273,-3.041489362716675
1664367489.3953638,274,-3.0409719944000244
1664367490.9701347,275,-3.037415027618408
1664367492.584851,276,-3.040825366973877
1664367494.147655,277,-3.0389487743377686
1664367495.7656045,278,-3.039994955062866
1664367497.3745131,279,-3.040374994277954
1664367498.9557414,280,-3.0410327911376953
1664367500.551577,281,-3.038055181503296
1664367502.1581633,282,-3.0393269062042236
1664367503.753989,283,-3.0381152629852295
1664367505.3152645,284,-3.0405337810516357
1664367506.9191554,285,-3.041188955307007
1664367508.5420244,286,-3.0403056144714355
1664367510.1546705,287,-3.0392661094665527
1664367511.731009,288,-3.040980339050293
1664367513.30865,289,-3.038409948348999
1664367514.857675,290,-3.039663553237915
1664367516.5313532,291,-3.0410029888153076
1664367518.1377242,292,-3.040910243988037
1664367519.7417789,293,-3.038442850112915
1664367521.295822,294,-3.039390802383423
1664367522.892084,295,-3.03847074508667
1664367524.4970348,296,-3.039924144744873
1664367526.1128283,297,-3.0406415462493896
1664367527.6950698,298,-3.039996385574341
1664367529.3132472,299,-3.0390074253082275
1664367530.9170458,300,-3.040256977081299
1664367532.54766,301,-3.0385472774505615
1664367534.1316533,302,-3.0392463207244873
1664367535.7649915,303,-3.0392465591430664
1664367537.2770457,304,-3.041212558746338
1664367538.8018186,305,-3.040294885635376
1664367540.3600664,306,-3.039839029312134
1664367541.9050515,307,-3.0396082401275635
1664367543.4324121,308,-3.0397822856903076
1664367545.0586066,309,-3.040346384048462
1664367546.622639,310,-3.039309024810791
1664367548.2386024,311,-3.040266990661621
1664367549.8188033,312,-3.0395138263702393
1664367551.5961654,313,-3.0390684604644775
1664367553.2082362,314,-3.041207790374756
1664367554.8051305,315,-3.0400872230529785
1664367556.4061365,316,-3.0393269062042236
1664367558.0045607,317,-3.040999174118042
1664367559.6150858,318,-3.0401113033294678
1664367561.1603587,319,-3.0410220623016357
1664367562.6868422,320,-3.03977108001709
1664367564.3085558,321,-3.0403144359588623
1664367565.8113642,322,-3.039625406265259
1664367567.4238868,323,-3.0387117862701416
1664367569.0535705,324,-3.0394065380096436
1664367570.6576676,325,-3.039566993713379
1664367572.2346354,326,-3.040515184402466
1664367573.848283,327,-3.0398521423339844
1664367575.4620326,328,-3.0396335124969482
1664367577.0848234,329,-3.040933609008789
1664367578.6935554,330,-3.038801431655884
1664367580.2721558,331,-3.0394065380096436
1664367581.8368678,332,-3.0398499965667725
1664367583.412795,333,-3.0408170223236084
1664367584.9875567,334,-3.040390968322754
1664367586.665143,335,-3.039565324783325
1664367588.23875,336,-3.0402560234069824
1664367589.7636218,337,-3.0397636890411377
1664367591.2812622,338,-3.0387587547302246
1664367592.9013002,339,-3.040003538131714
1664367594.4900618,340,-3.040634870529175
1664367596.1018388,341,-3.039896249771118
1664367597.7181487,342,-3.0402636528015137
1664367599.310481,343,-3.039945125579834
1664367600.909373,344,-3.04036808013916
1664367602.5187843,345,-3.0407912731170654
1664367604.16744,346,-3.0388197898864746
1664367605.7874699,347,-3.0403826236724854
1664367607.3834622,348,-3.040024518966675
1664367608.9944572,349,-3.04072904586792
1664367610.6233885,350,-3.0402188301086426
1664367612.1926246,351,-3.041613817214966
1664367613.7333221,352,-3.040343761444092
1664367615.2403097,353,-3.0414485931396484
1664367616.7621913,354,-3.040494441986084
1664367618.2785873,355,-3.039454936981201
1664367619.8324006,356,-3.0394434928894043
1664367621.608515,357,-3.0397486686706543
1664367623.2317789,358,-3.039250612258911
1664367624.8651793,359,-3.0403072834014893
1664367626.478592,360,-3.0393331050872803
1664367628.111627,361,-3.039677381515503
1664367629.7599404,362,-3.0377328395843506
1664367631.283927,363,-3.0379905700683594
1664367632.8687875,364,-3.040356397628784
1664367634.416845,365,-3.040738105773926
1664367635.946378,366,-3.0413761138916016
1664367637.5841684,367,-3.041778564453125
1664367639.171426,368,-3.040525436401367
1664367640.811991,369,-3.0402932167053223
1664367642.4293797,370,-3.039640188217163
1664367644.0641701,371,-3.0409746170043945
1664367645.6653469,372,-3.0405426025390625
1664367647.3034806,373,-3.0399386882781982
1664367648.9321148,374,-3.0397567749023438
1664367650.5582702,375,-3.0371999740600586
1664367652.1583972,376,-3.0409953594207764
1664367653.7597723,377,-3.039639949798584
1664367655.3768919,378,-3.041015863418579
1664367657.0721161,379,-3.03935170173645
1664367658.6116536,380,-3.0400750637054443
1664367660.2549021,381,-3.0402698516845703
1664367661.8173523,382,-3.0398612022399902
1664367663.4275677,383,-3.040398120880127
1664367665.0478349,384,-3.040029764175415
1664367666.6200933,385,-3.0395708084106445
1664367668.216272,386,-3.039869785308838
1664367669.8419235,387,-3.036755323410034
1664367671.4337714,388,-3.0415802001953125
1664367673.027826,389,-3.04012393951416
1664367674.6457357,390,-3.0415027141571045
1664367676.25629,391,-3.0409905910491943
1664367677.888678,392,-3.039867639541626
1664367679.477532,393,-3.040405035018921
1664367681.1062274,394,-3.0408084392547607
