Wall time,Step,Value
1664369708.4784448,0,-0.6922701001167297
1664369719.215777,1,-0.6994927525520325
1664369721.3107982,2,-0.6977975368499756
1664369723.36622,3,-0.7174428105354309
1664369725.405225,4,-0.7271508574485779
1664369727.4399052,5,-0.7273439168930054
1664369729.4846692,6,-0.7585517168045044
1664369731.4965324,7,-0.7526383399963379
1664369733.5810132,8,-0.7675434947013855
1664369735.5696099,9,-0.790391206741333
1664369737.6256714,10,-0.8022884130477905
1664369739.703273,11,-0.8279831409454346
1664369741.8041778,12,-0.8329514861106873
1664369743.822298,13,-0.8547616600990295
1664369745.8774674,14,-0.8551307916641235
1664369747.9268587,15,-0.8843942284584045
1664369749.9940457,16,-0.9176573157310486
1664369752.0157926,17,-0.9113675951957703
1664369754.2535288,18,-0.9289339184761047
1664369756.2844799,19,-0.9353741407394409
1664369758.3340766,20,-0.9610347747802734
1664369760.406612,21,-0.9555966258049011
1664369762.4662504,22,-0.9608438014984131
1664369764.4713075,23,-1.0054610967636108
1664369766.5478024,24,-0.9990034699440002
1664369768.5990565,25,-1.0131468772888184
1664369770.6837635,26,-1.0100382566452026
1664369772.7546248,27,-1.0298032760620117
1664369774.8282487,28,-1.063025951385498
1664369776.8947287,29,-1.0588783025741577
1664369778.9542212,30,-1.0700534582138062
1664369781.044981,31,-1.0593830347061157
1664369783.0793009,32,-1.0749560594558716
1664369785.138136,33,-1.0922820568084717
1664369787.1858294,34,-1.1224980354309082
1664369789.2083256,35,-1.1071356534957886
1664369791.292105,36,-1.1480549573898315
1664369793.3604825,37,-1.1524419784545898
1664369795.5824027,38,-1.1486058235168457
1664369797.6480348,39,-1.1555542945861816
1664369799.7341423,40,-1.1665016412734985
1664369801.778677,41,-1.1797574758529663
1664369803.8094783,42,-1.1971513032913208
1664369805.887962,43,-1.2073835134506226
1664369807.9699326,44,-1.2169439792633057
1664369810.0393457,45,-1.2535185813903809
1664369812.0836062,46,-1.2701342105865479
1664369814.177792,47,-1.2655030488967896
1664369816.2340076,48,-1.2860500812530518
1664369818.2788742,49,-1.2907723188400269
1664369820.3303165,50,-1.2972264289855957
1664369822.3967378,51,-1.3266617059707642
1664369824.434369,52,-1.3436238765716553
1664369826.4749901,53,-1.342458724975586
1664369828.5262585,54,-1.3685897588729858
1664369830.575579,55,-1.3732993602752686
1664369832.6362612,56,-1.39250910282135
1664369834.6705716,57,-1.4048157930374146
1664369836.7353497,58,-1.4186900854110718
1664369838.796057,59,-1.4235811233520508
1664369840.8370512,60,-1.464096188545227
1664369842.9106011,61,-1.4615298509597778
1664369844.9734886,62,-1.4818909168243408
1664369847.2166474,63,-1.5038526058197021
1664369849.2799845,64,-1.5002003908157349
1664369851.3565722,65,-1.5217186212539673
1664369853.4092884,66,-1.5638216733932495
1664369855.4072967,67,-1.5500612258911133
1664369857.4697258,68,-1.5771136283874512
1664369859.5177813,69,-1.5995653867721558
1664369861.5930183,70,-1.6176698207855225
1664369863.6394045,71,-1.6119236946105957
1664369865.719208,72,-1.6567919254302979
1664369867.7973335,73,-1.674383521080017
1664369869.8486512,74,-1.6701205968856812
1664369871.904323,75,-1.6615887880325317
1664369873.9498677,76,-1.7192022800445557
1664369876.0046103,77,-1.7238318920135498
1664369878.0579085,78,-1.746260643005371
1664369880.1066084,79,-1.756103515625
1664369882.1607716,80,-1.7768315076828003
1664369884.1466336,81,-1.7751809358596802
1664369886.1746783,82,-1.801805019378662
1664369888.2382321,83,-1.8011791706085205
1664369890.5249326,84,-1.828536033630371
1664369892.579134,85,-1.868432641029358
1664369894.6380157,86,-1.8762938976287842
1664369896.646106,87,-1.8767781257629395
1664369898.6430948,88,-1.910452961921692
1664369900.6942887,89,-1.9196053743362427
1664369902.7342844,90,-1.943328619003296
1664369904.8068788,91,-1.9632482528686523
1664369906.8151357,92,-1.97461998462677
1664369908.890886,93,-2.0104219913482666
1664369910.9608116,94,-2.005383253097534
1664369913.0289943,95,-2.0387113094329834
1664369915.1136115,96,-2.0315628051757812
1664369917.1960132,97,-2.071237087249756
1664369919.2082033,98,-2.0702614784240723
1664369921.225455,99,-2.102473735809326
1664369923.2765071,100,-2.109297275543213
1664369925.2953315,101,-2.1463654041290283
1664369927.3022842,102,-2.144291400909424
1664369929.3706906,103,-2.1728596687316895
1664369931.6448228,104,-2.1526148319244385
1664369933.6671917,105,-2.19991397857666
1664369935.7069776,106,-2.222731590270996
1664369937.7629623,107,-2.22349214553833
1664369939.7948008,108,-2.2486937046051025
1664369941.860373,109,-2.269601345062256
1664369943.921332,110,-2.297323703765869
