Wall time,Step,Value
1662600950.3531656,0,-2.604473352432251
1662600954.5478914,1,-2.6085543632507324
1662600956.0390587,2,-2.6068148612976074
1662600957.4996827,3,-2.6144063472747803
1662600958.9569745,4,-2.6233272552490234
1662600960.403722,5,-2.6191201210021973
1662600961.8790205,6,-2.632946014404297
1662600963.3207703,7,-2.6183037757873535
1662600964.8021264,8,-2.6418662071228027
1662600966.2818463,9,-2.6365509033203125
1662600967.7314386,10,-2.6445581912994385
1662600969.2139618,11,-2.6533873081207275
1662600970.7039557,12,-2.6721930503845215
1662600972.184462,13,-2.6744885444641113
1662600973.672081,14,-2.6963248252868652
1662600975.119871,15,-2.7177085876464844
1662600976.5860312,16,-2.734506607055664
1662600978.035553,17,-2.7523674964904785
1662600979.526909,18,-2.7911605834960938
1662600981.008658,19,-2.8270227909088135
1662600982.4645448,20,-2.8438539505004883
1662600983.9547446,21,-2.9007949829101562
1662600985.4355607,22,-2.931100368499756
1662600986.9203253,23,-2.9979116916656494
1662600988.3441842,24,-3.042576551437378
1662600989.8109074,25,-3.0803489685058594
1662600991.2480147,26,-3.1025941371917725
1662600992.7084436,27,-3.1492574214935303
1662600994.1349356,28,-3.2100203037261963
1662600995.5872972,29,-3.2483298778533936
1662600997.0336196,30,-3.2641406059265137
1662600998.490668,31,-3.3122918605804443
1662600999.9411871,32,-3.3300840854644775
1662601001.3808198,33,-3.3637216091156006
1662601002.8376768,34,-3.3739326000213623
1662601004.2894094,35,-3.407442331314087
1662601005.7446547,36,-3.420091152191162
1662601007.173685,37,-3.4340245723724365
1662601008.6528497,38,-3.4606244564056396
1662601010.1152694,39,-3.4831392765045166
1662601011.5495298,40,-3.4916114807128906
1662601012.9907851,41,-3.5049667358398438
1662601014.4199123,42,-3.515693187713623
1662601015.8772278,43,-3.5204246044158936
1662601017.295692,44,-3.5255701541900635
1662601018.7585561,45,-3.533668279647827
1662601020.2055597,46,-3.5361404418945312
1662601021.6642833,47,-3.536961555480957
1662601023.0975177,48,-3.542372465133667
1662601024.4803994,49,-3.546487331390381
1662601025.9404564,50,-3.5535194873809814
1662601027.3407545,51,-3.55484938621521
1662601028.8272498,52,-3.5545148849487305
1662601030.2709117,53,-3.5581181049346924
1662601031.6913404,54,-3.5539443492889404
1662601033.1576607,55,-3.5555853843688965
1662601034.6501093,56,-3.5589101314544678
1662601036.100874,57,-3.5617496967315674
1662601037.5832794,58,-3.5628767013549805
1662601039.0303268,59,-3.5600812435150146
1662601040.4695673,60,-3.5628631114959717
1662601041.9304855,61,-3.5649638175964355
1662601043.4087138,62,-3.560086965560913
1662601044.8922007,63,-3.562455415725708
1662601046.3348663,64,-3.5632529258728027
1662601047.7949717,65,-3.5657594203948975
1662601049.2479744,66,-3.5628843307495117
1662601050.7124438,67,-3.559950590133667
1662601052.118343,68,-3.562476634979248
1662601053.5581388,69,-3.561373233795166
1662601054.986612,70,-3.562739372253418
1662601056.4374335,71,-3.563265323638916
1662601057.84644,72,-3.561758279800415
1662601059.3081088,73,-3.5638251304626465
1662601060.73245,74,-3.5655276775360107
1662601062.1894777,75,-3.563573122024536
1662601063.6848536,76,-3.565234661102295
1662601065.1001177,77,-3.5673770904541016
1662601066.5397646,78,-3.5656464099884033
1662601067.998988,79,-3.5633938312530518
1662601069.4591525,80,-3.5641696453094482
1662601070.8982782,81,-3.5619313716888428
1662601072.3376508,82,-3.562150001525879
1662601073.7677758,83,-3.562145233154297
1662601075.2146273,84,-3.565549850463867
1662601076.6620023,85,-3.562589645385742
1662601078.0958421,86,-3.563831329345703
1662601079.5725617,87,-3.5631356239318848
1662601081.0114043,88,-3.5633442401885986
1662601082.442876,89,-3.565908432006836
1662601083.911136,90,-3.5635993480682373
1662601085.3061903,91,-3.5649280548095703
1662601086.724325,92,-3.56231689453125
1662601088.218975,93,-3.561614751815796
1662601089.6660597,94,-3.5619328022003174
1662601091.128697,95,-3.5639894008636475
1662601092.5596309,96,-3.56496262550354
1662601094.0103722,97,-3.5641191005706787
1662601095.4722784,98,-3.56683611869812
1662601096.9734688,99,-3.563361644744873
1662601098.4217863,100,-3.566066026687622
1662601099.854553,101,-3.5653040409088135
1662601101.2657971,102,-3.5672519207000732
1662601102.6816397,103,-3.5639312267303467
1662601104.1356416,104,-3.5623159408569336
1662601105.603787,105,-3.5661556720733643
1662601107.0030415,106,-3.5625951290130615
1662601108.4393885,107,-3.5648910999298096
1662601109.9061077,108,-3.5653975009918213
1662601111.350702,109,-3.5637543201446533
1662601112.785047,110,-3.5645368099212646
1662601114.2704103,111,-3.5648884773254395
1662601115.719106,112,-3.564546823501587
1662601117.1186483,113,-3.5617613792419434
1662601118.5382295,114,-3.565070152282715
1662601119.968225,115,-3.5622031688690186
1662601121.430416,116,-3.5626380443573
1662601122.8985498,117,-3.5620474815368652
1662601124.3323011,118,-3.5628650188446045
1662601125.8200176,119,-3.563127040863037
1662601127.250459,120,-3.5645711421966553
1662601128.6793742,121,-3.565009355545044
1662601130.124348,122,-3.563037872314453
1662601131.5835176,123,-3.562746047973633
1662601133.0216153,124,-3.564537286758423
1662601134.492058,125,-3.5656564235687256
1662601135.9376564,126,-3.5630042552948
1662601137.3376796,127,-3.5648064613342285
1662601138.796951,128,-3.5637729167938232
1662601140.2279613,129,-3.5617575645446777
1662601141.6558626,130,-3.5643458366394043
1662601143.1013522,131,-3.564099073410034
1662601144.5713077,132,-3.561901569366455
1662601146.0564816,133,-3.5627315044403076
1662601147.5077147,134,-3.564612865447998
1662601148.91321,135,-3.5629496574401855
1662601150.3214407,136,-3.5639443397521973
1662601151.7830496,137,-3.5658211708068848
1662601153.259875,138,-3.56480073928833
1662601154.7102237,139,-3.5605456829071045
1662601156.1246035,140,-3.5611624717712402
1662601157.5567467,141,-3.562389373779297
1662601158.9938152,142,-3.563075542449951
1662601160.419773,143,-3.5660548210144043
1662601161.8399978,144,-3.5667030811309814
1662601163.285297,145,-3.5645089149475098
1662601164.745187,146,-3.5610439777374268
1662601166.1976917,147,-3.5626258850097656
1662601167.6344042,148,-3.5640554428100586
1662601169.0436547,149,-3.565934896469116
1662601170.5176265,150,-3.5624582767486572
1662601171.962381,151,-3.563436269760132
1662601173.408902,152,-3.561725378036499
1662601174.8725266,153,-3.5651702880859375
1662601176.3218024,154,-3.5688071250915527
1662601177.7854207,155,-3.561671733856201
1662601179.268107,156,-3.564850330352783
1662601180.7517433,157,-3.5636143684387207
1662601182.2047353,158,-3.5629870891571045
1662601183.6769037,159,-3.5658936500549316
1662601185.1129105,160,-3.5664212703704834
1662601186.5457304,161,-3.564439535140991
1662601188.0127192,162,-3.564194440841675
1662601189.498785,163,-3.561906576156616
1662601190.9485428,164,-3.562446117401123
1662601192.4430668,165,-3.563211679458618
1662601193.878982,166,-3.564523220062256
1662601195.3069527,167,-3.56437087059021
1662601196.7932231,168,-3.5662989616394043
1662601198.242575,169,-3.5613043308258057
1662601199.7201643,170,-3.564307928085327
1662601201.193255,171,-3.5658817291259766
1662601202.6558516,172,-3.5634512901306152
1662601204.1030877,173,-3.565931558609009
1662601205.5977905,174,-3.5643820762634277
1662601207.0972726,175,-3.565671920776367
1662601208.5608006,176,-3.5636889934539795
1662601209.9683406,177,-3.5641937255859375
1662601211.4437878,178,-3.5635738372802734
1662601212.9234576,179,-3.5618462562561035
1662601214.4234145,180,-3.561264991760254
1662601215.9064014,181,-3.561785936355591
1662601217.286517,182,-3.564404249191284
1662601218.7272317,183,-3.5644736289978027
1662601220.1754556,184,-3.5663716793060303
1662601221.6302125,185,-3.5629115104675293
1662601223.0821004,186,-3.5649161338806152
1662601224.5448155,187,-3.5610861778259277
1662601225.944662,188,-3.5656590461730957
1662601227.3373556,189,-3.5647199153900146
1662601228.8063166,190,-3.5646145343780518
1662601230.27718,191,-3.5649917125701904
1662601231.693518,192,-3.561272144317627
1662601233.146451,193,-3.5636000633239746
1662601234.6035995,194,-3.5635502338409424
1662601236.056421,195,-3.5643930435180664
1662601237.5314727,196,-3.564603090286255
1662601239.0369697,197,-3.562889575958252
1662601240.536181,198,-3.561662197113037
1662601241.9560032,199,-3.5639257431030273
1662601243.4145591,200,-3.564757823944092
1662601244.8884103,201,-3.5632407665252686
1662601246.3717582,202,-3.5632200241088867
1662601247.846565,203,-3.561812162399292
1662601249.3132887,204,-3.564180374145508
1662601250.722496,205,-3.5617363452911377
1662601252.1106172,206,-3.564737558364868
1662601253.537813,207,-3.5645055770874023
1662601254.9524913,208,-3.5632073879241943
1662601256.4434173,209,-3.5633699893951416
1662601257.9225597,210,-3.564042806625366
1662601259.356027,211,-3.5634806156158447
1662601260.7920742,212,-3.5642154216766357
1662601262.2427332,213,-3.5660581588745117
1662601263.7133274,214,-3.564749240875244
1662601265.1060123,215,-3.5623440742492676
1662601266.5519161,216,-3.562885284423828
1662601268.0096483,217,-3.5655646324157715
1662601269.4226177,218,-3.564227342605591
1662601270.8326366,219,-3.563155174255371
1662601272.248368,220,-3.5637009143829346
1662601273.7230248,221,-3.562378168106079
1662601275.1964471,222,-3.565952777862549
1662601276.6636152,223,-3.565500020980835
1662601278.1262114,224,-3.5664758682250977
1662601279.5551276,225,-3.5624215602874756
1662601281.0392382,226,-3.56316876411438
1662601282.4838536,227,-3.5628771781921387
1662601283.9291203,228,-3.564934253692627
1662601285.38914,229,-3.564423084259033
1662601286.8699267,230,-3.564539670944214
1662601288.3234012,231,-3.5640125274658203
1662601289.7950742,232,-3.5640742778778076
1662601291.2674375,233,-3.562252998352051
1662601292.69414,234,-3.5627076625823975
1662601294.1740863,235,-3.5658202171325684
1662601295.6240094,236,-3.562506675720215
1662601297.0965424,237,-3.564706325531006
1662601298.5264456,238,-3.564560651779175
