Wall time,Step,Value
1664925229.11219,0,-2.6096532344818115
1664925235.0905218,1,-2.6369259357452393
1664925237.745891,2,-2.6690359115600586
1664925240.415029,3,-2.684843063354492
1664925243.0737886,4,-2.708108901977539
1664925245.7531233,5,-2.740798234939575
1664925248.4291131,6,-2.764594316482544
1664925251.0748565,7,-2.7789504528045654
1664925253.6825562,8,-2.79213809967041
1664925256.265195,9,-2.8210182189941406
1664925258.8887138,10,-2.837584972381592
1664925261.5683591,11,-2.844149589538574
1664925264.3628438,12,-2.848987579345703
1664925267.0090702,13,-2.8578367233276367
1664925269.7454276,14,-2.8682501316070557
1664925272.444501,15,-2.8743886947631836
1664925275.1072848,16,-2.893498182296753
1664925277.7521763,17,-2.8936667442321777
1664925280.4602623,18,-2.8993513584136963
1664925283.1467152,19,-2.920813798904419
1664925285.7776906,20,-2.924353837966919
1664925288.4698977,21,-2.931004524230957
1664925291.1057706,22,-2.9439644813537598
1664925293.786964,23,-2.94688081741333
1664925296.4892194,24,-2.9458436965942383
1664925299.2042406,25,-2.955065965652466
1664925301.8351943,26,-2.9691531658172607
1664925304.5187335,27,-2.9794342517852783
1664925307.1824734,28,-2.978705644607544
1664925309.9873178,29,-2.9966912269592285
1664925312.6176064,30,-2.9930500984191895
1664925315.2530665,31,-3.005631446838379
1664925317.8670082,32,-3.0140392780303955
1664925320.486554,33,-3.008787155151367
1664925323.1890848,34,-3.02606463432312
1664925325.9213822,35,-3.028456687927246
1664925328.6176798,36,-3.033020496368408
1664925331.3121545,37,-3.060137987136841
1664925334.0095723,38,-3.0644350051879883
1664925336.7265542,39,-3.0869460105895996
1664925339.4130483,40,-3.09171724319458
1664925342.0869162,41,-3.10231876373291
1664925344.7662487,42,-3.1037232875823975
1664925347.4790242,43,-3.118926525115967
1664925350.1761491,44,-3.1328704357147217
1664925352.8849607,45,-3.170159339904785
1664925355.574322,46,-3.167571544647217
1664925358.267884,47,-3.178502321243286
1664925360.9159822,48,-3.184990644454956
1664925363.505033,49,-3.214452028274536
1664925366.136409,50,-3.226182460784912
1664925368.7664645,51,-3.223057746887207
1664925371.4838233,52,-3.240978956222534
1664925374.204479,53,-3.2498488426208496
1664925376.8924294,54,-3.2710468769073486
1664925379.4916754,55,-3.2661478519439697
1664925382.0633035,56,-3.2944817543029785
1664925384.7690413,57,-3.298786163330078
1664925387.438278,58,-3.3391706943511963
1664925390.1173425,59,-3.3374054431915283
1664925392.7438323,60,-3.3592333793640137
1664925395.4990342,61,-3.346750497817993
1664925398.2191873,62,-3.3757123947143555
1664925400.8700259,63,-3.387031078338623
1664925403.5154135,64,-3.3902840614318848
1664925406.229134,65,-3.416869878768921
1664925408.9501226,66,-3.408994674682617
1664925411.611275,67,-3.4213180541992188
1664925414.2993343,68,-3.448385000228882
1664925416.9930751,69,-3.450909376144409
1664925419.6194317,70,-3.4616501331329346
1664925422.3143573,71,-3.4769930839538574
1664925424.9909153,72,-3.4723265171051025
1664925427.679177,73,-3.4882771968841553
1664925430.3524778,74,-3.492223024368286
1664925433.0243714,75,-3.4967305660247803
1664925435.6872845,76,-3.507490873336792
1664925438.4564307,77,-3.516406774520874
1664925441.1671734,78,-3.519866466522217
1664925443.890887,79,-3.518768310546875
1664925446.5643916,80,-3.520888566970825
1664925449.2170203,81,-3.534719228744507
1664925451.894957,82,-3.528702735900879
1664925454.58317,83,-3.5347883701324463
1664925457.3190284,84,-3.5457425117492676
1664925459.9929268,85,-3.5365946292877197
