h,extracted value
-3.6,0.36572348682833694
-3.5,0.3276841933868754
-3.4,0.29074176152557074
-3.3,0.2575947906858841
-3.2,0.22745545135631368
-3.1,0.2010295935892666
-3.0,0.1780825255811641
-2.9,0.15531837490253306
-2.8,0.13474733878528208
-2.7,0.11660377913753257
-2.6,0.10004873974987767
-2.5,0.08562459802751048
-2.4,0.07257393874399566
-2.3,0.0612259931349815
-2.2,0.051333774899472204
-2.1,0.0425330743647312
-2.0,0.03502807140421736
-1.9,0.028353327714341032
-1.8,0.02276672591567662
-1.7,0.01801603611464075
-1.6,0.014176154531504389
-1.5,0.011050721015316402
-1.4,0.008314311677330708
-1.3,0.0060957877995966876
-1.2,0.00436620978722715
-1.1,0.00306779392779093
-1.0,0.0020127621638387806
-0.9,0.001233672895455006
-0.8,0.0006811679276238123
-0.7,0.00024336439297247982
-0.6,3.6605228796983115e-05
-0.5,1.3055188574412857e-06
-0.4,4.2252167415544944e-08
-0.3,1.0952817579920904e-10
-0.2,1.3809196841830728e-14
