Wall time,Step,Value
1662591637.3412454,0,-3.402580499649048
1662591641.465931,1,-3.4035112857818604
1662591642.9322414,2,-3.4036808013916016
1662591644.4022038,3,-3.4103338718414307
1662591645.8900683,4,-3.41131591796875
1662591647.3329911,5,-3.422666549682617
1662591648.8000305,6,-3.4216718673706055
1662591650.2364607,7,-3.4231083393096924
1662591651.6721992,8,-3.4248201847076416
1662591653.1056414,9,-3.429126501083374
1662591654.5199301,10,-3.435084581375122
1662591655.9507985,11,-3.434821844100952
1662591657.4269376,12,-3.4471919536590576
1662591658.8869555,13,-3.4499099254608154
1662591660.3162615,14,-3.4576570987701416
1662591661.7899966,15,-3.4488563537597656
1662591663.2256854,16,-3.47308087348938
1662591664.6813118,17,-3.4822957515716553
1662591666.1558979,18,-3.4929134845733643
1662591667.6200438,19,-3.498420476913452
1662591669.0895703,20,-3.503026247024536
1662591670.5594294,21,-3.5329813957214355
1662591672.0454006,22,-3.5431950092315674
1662591673.5412493,23,-3.580657720565796
1662591674.9886925,24,-3.5872488021850586
1662591676.4431295,25,-3.602177619934082
1662591677.91647,26,-3.6254591941833496
1662591679.4054513,27,-3.644634485244751
1662591680.880027,28,-3.661888360977173
1662591682.351949,29,-3.694514274597168
1662591683.7799218,30,-3.7121591567993164
1662591685.1980517,31,-3.733968496322632
1662591686.6156566,32,-3.7517595291137695
1662591688.0777092,33,-3.7776780128479004
1662591689.5298386,34,-3.7778851985931396
1662591690.9862,35,-3.8036158084869385
1662591692.4039934,36,-3.825629234313965
1662591693.7990189,37,-3.8257317543029785
1662591695.2709074,38,-3.859396457672119
1662591696.7319372,39,-3.871401309967041
1662591698.192389,40,-3.8761937618255615
1662591699.6921415,41,-3.883244276046753
1662591701.1445887,42,-3.904693126678467
1662591702.5978825,43,-3.9020540714263916
1662591704.0618012,44,-3.918781042098999
1662591705.5215764,45,-3.924525260925293
1662591706.9874008,46,-3.9304511547088623
1662591708.4700947,47,-3.9279255867004395
1662591709.917606,48,-3.9293830394744873
1662591711.3597484,49,-3.941387414932251
1662591712.7855294,50,-3.9464011192321777
1662591714.2804146,51,-3.9505457878112793
1662591715.748104,52,-3.9551451206207275
1662591717.1932204,53,-3.9524986743927
1662591718.6361854,54,-3.9525434970855713
1662591720.1169622,55,-3.9599552154541016
1662591721.6034086,56,-3.9563515186309814
1662591723.0606194,57,-3.9589970111846924
1662591724.4970033,58,-3.963015079498291
1662591725.9422362,59,-3.960294246673584
1662591727.3658342,60,-3.9581613540649414
1662591728.801229,61,-3.963656425476074
1662591730.2547748,62,-3.9564948081970215
1662591731.6971982,63,-3.9684224128723145
1662591733.1414247,64,-3.9609768390655518
1662591734.576798,65,-3.962697744369507
1662591736.0774765,66,-3.9609737396240234
1662591737.5432138,67,-3.9584879875183105
1662591738.9343615,68,-3.9632811546325684
1662591740.437378,69,-3.959864616394043
1662591741.9091926,70,-3.9630720615386963
1662591743.3582458,71,-3.964259386062622
1662591744.8326654,72,-3.961378574371338
1662591746.315836,73,-3.9600040912628174
1662591747.7803514,74,-3.9671809673309326
1662591749.209271,75,-3.964611530303955
1662591750.6420627,76,-3.9635748863220215
1662591752.0610085,77,-3.9696810245513916
1662591753.4625723,78,-3.960893154144287
1662591754.886529,79,-3.963074207305908
1662591756.34597,80,-3.9626598358154297
1662591757.7940848,81,-3.965501546859741
1662591759.2600698,82,-3.9634366035461426
1662591760.7075443,83,-3.9622180461883545
1662591762.1494613,84,-3.9659762382507324
1662591763.586405,85,-3.9670169353485107
1662591765.052262,86,-3.9657416343688965
1662591766.5515661,87,-3.9612200260162354
1662591767.958729,88,-3.9686763286590576
1662591769.4326017,89,-3.9648966789245605
1662591770.878063,90,-3.968675136566162
1662591772.3155823,91,-3.968332529067993
1662591773.7848158,92,-3.964841604232788
1662591775.2695944,93,-3.9644486904144287
1662591776.7367022,94,-3.9617416858673096
1662591778.2086906,95,-3.966386556625366
1662591779.6399224,96,-3.96877384185791
1662591781.1267028,97,-3.9661219120025635
1662591782.5778947,98,-3.9655730724334717
1662591784.0440547,99,-3.9642696380615234
1662591785.4560153,100,-3.9661197662353516
1662591786.8846617,101,-3.966839551925659
1662591788.3406441,102,-3.966871500015259
1662591789.8073926,103,-3.9649150371551514
1662591791.2192576,104,-3.964132785797119
1662591792.6409771,105,-3.968256711959839
1662591794.0852191,106,-3.9597980976104736
1662591795.5206997,107,-3.9682629108428955
1662591796.9623432,108,-3.9650118350982666
1662591798.3536994,109,-3.9630558490753174
1662591799.7799754,110,-3.964348077774048
1662591801.1946516,111,-3.9620203971862793
1662591802.6595461,112,-3.9690117835998535
1662591804.1250744,113,-3.9636316299438477
1662591805.5816412,114,-3.96258807182312
1662591807.0488646,115,-3.962594985961914
1662591808.52838,116,-3.9656383991241455
1662591809.9695957,117,-3.9626271724700928
1662591811.4052572,118,-3.964864730834961
1662591812.8344493,119,-3.968498468399048
1662591814.2480464,120,-3.9661483764648438
1662591815.7073405,121,-3.9619081020355225
1662591817.1892033,122,-3.9630675315856934
1662591818.6720533,123,-3.965545415878296
1662591820.140927,124,-3.9636037349700928
1662591821.596738,125,-3.9658029079437256
1662591823.0396533,126,-3.963545560836792
1662591824.5179932,127,-3.963327407836914
1662591825.9713051,128,-3.964245080947876
1662591827.4373686,129,-3.9637248516082764
1662591828.9271789,130,-3.9660627841949463
1662591830.405543,131,-3.9642174243927
1662591831.843713,132,-3.9643032550811768
1662591833.302403,133,-3.960810422897339
1662591834.7589633,134,-3.9665563106536865
1662591836.163047,135,-3.9627199172973633
1662591837.5763123,136,-3.9671719074249268
1662591838.9503114,137,-3.966935634613037
1662591840.408507,138,-3.965071439743042
1662591841.8475034,139,-3.9596381187438965
1662591843.2679155,140,-3.9636106491088867
1662591844.7603385,141,-3.9663610458374023
1662591846.1996562,142,-3.9644391536712646
1662591847.650596,143,-3.965249538421631
1662591849.1049302,144,-3.967296600341797
1662591850.5639615,145,-3.964151620864868
1662591852.031924,146,-3.961521625518799
1662591853.4765751,147,-3.9608874320983887
1662591854.939761,148,-3.9670145511627197
1662591856.4253054,149,-3.9655048847198486
1662591857.8643646,150,-3.964576244354248
1662591859.303494,151,-3.9670941829681396
1662591860.7377334,152,-3.9633538722991943
1662591862.2052865,153,-3.9643776416778564
1662591863.6828434,154,-3.9700393676757812
1662591865.1474807,155,-3.964193820953369
1662591866.623957,156,-3.9655511379241943
1662591868.1011512,157,-3.964768886566162
1662591869.5064216,158,-3.9631457328796387
1662591870.973293,159,-3.9679503440856934
1662591872.4386184,160,-3.9662890434265137
1662591873.9021385,161,-3.962763786315918
1662591875.3564212,162,-3.964897394180298
1662591876.8186069,163,-3.96732759475708
1662591878.2710617,164,-3.9617841243743896
1662591879.6924074,165,-3.964669942855835
1662591881.123659,166,-3.9626660346984863
1662591882.5307386,167,-3.9640846252441406
1662591883.9625802,168,-3.9653706550598145
1662591885.4098527,169,-3.96270751953125
1662591886.860834,170,-3.962315082550049
1662591888.309768,171,-3.9683032035827637
1662591889.7499118,172,-3.966904878616333
1662591891.2007136,173,-3.9701902866363525
1662591892.6370573,174,-3.9634358882904053
1662591894.0617733,175,-3.9672324657440186
1662591895.6081216,176,-3.96464204788208
1662591897.0370877,177,-3.9671192169189453
1662591898.4657254,178,-3.965400457382202
1662591899.9481015,179,-3.965461492538452
1662591901.3671498,180,-3.9614641666412354
1662591902.7981865,181,-3.9636783599853516
1662591904.289033,182,-3.9635725021362305
1662591905.7831907,183,-3.9621105194091797
1662591907.2125409,184,-3.9674317836761475
1662591908.6423094,185,-3.9675979614257812
1662591910.0749512,186,-3.967825174331665
1662591911.5040753,187,-3.9637575149536133
1662591912.9923768,188,-3.9648728370666504
1662591914.4125602,189,-3.9621593952178955
1662591915.8586564,190,-3.9647085666656494
1662591917.328568,191,-3.963608503341675
1662591918.7591107,192,-3.9649813175201416
1662591920.1863372,193,-3.9662580490112305
1662591921.6574824,194,-3.9615323543548584
1662591923.0978286,195,-3.9657163619995117
1662591924.5340958,196,-3.9628169536590576
1662591925.9888914,197,-3.9718236923217773
1662591927.4200397,198,-3.963085412979126
1662591928.8989532,199,-3.969571113586426
1662591930.3729916,200,-3.9649336338043213
1662591931.820593,201,-3.9661173820495605
1662591933.2483165,202,-3.9632229804992676
1662591934.6973052,203,-3.9661197662353516
1662591936.12613,204,-3.962097406387329
1662591937.5668147,205,-3.964569330215454
1662591939.0060167,206,-3.9654603004455566
1662591940.4535658,207,-3.9641454219818115
1662591941.8991714,208,-3.96476411819458
1662591943.3779428,209,-3.9628677368164062
1662591944.8545547,210,-3.9626457691192627
1662591946.3000693,211,-3.9686965942382812
1662591947.7267854,212,-3.9648523330688477
1662591949.1666727,213,-3.962085008621216
1662591950.5947573,214,-3.965456485748291
1662591952.0621517,215,-3.963865280151367
1662591953.5359557,216,-3.9645631313323975
1662591955.0370343,217,-3.961256980895996
1662591956.497175,218,-3.9659535884857178
1662591957.9313254,219,-3.9660074710845947
1662591959.3900037,220,-3.962056875228882
1662591960.8868432,221,-3.9635980129241943
1662591962.3092682,222,-3.9675440788269043
1662591963.796466,223,-3.9620888233184814
1662591965.2791388,224,-3.967629909515381
