Wall time,Step,Value
1664305384.8273957,0,-0.7074444890022278
1664305391.5936215,1,-0.7114338278770447
1664305394.9973505,2,-0.7292699813842773
1664305398.3038385,3,-0.7458360195159912
1664305401.717587,4,-0.7647287845611572
1664305404.893291,5,-0.7729759216308594
1664305408.3335092,6,-0.7831616997718811
1664305412.0206137,7,-0.8017447590827942
1664305415.690441,8,-0.8144715428352356
1664305419.3213015,9,-0.8232182860374451
1664305422.517828,10,-0.8379979133605957
1664305425.7884223,11,-0.8461287617683411
1664305429.1293926,12,-0.8574981689453125
1664305432.2887578,13,-0.8613452315330505
1664305435.4256134,14,-0.871665358543396
1664305438.5755477,15,-0.8753952383995056
1664305441.7329433,16,-0.8881325721740723
1664305444.8897812,17,-0.890808641910553
1664305448.0879908,18,-0.8957456946372986
1664305451.2690213,19,-0.9013721942901611
1664305454.4201274,20,-0.8983561396598816
1664305457.6174216,21,-0.9099772572517395
1664305460.864438,22,-0.9136790037155151
1664305464.0665634,23,-0.9146669507026672
1664305467.2555087,24,-0.9214740991592407
1664305470.4286008,25,-0.9265598654747009
1664305473.5946634,26,-0.9255870580673218
1664305476.7597075,27,-0.9393007159233093
1664305479.9517312,28,-0.9386200308799744
1664305483.143417,29,-0.9404148459434509
1664305486.3318324,30,-0.9428818821907043
1664305489.488059,31,-0.9528016448020935
1664305492.6344342,32,-0.9510805010795593
1664305495.789987,33,-0.958155632019043
1664305498.9695792,34,-0.9598981738090515
1664305502.100259,35,-0.9628254771232605
1664305505.2694526,36,-0.96189945936203
1664305508.4128866,37,-0.9679332375526428
1664305511.5816317,38,-0.9713051915168762
1664305514.7464218,39,-0.9717057347297668
1664305517.8596182,40,-0.9746495485305786
1664305521.0474362,41,-0.9775978922843933
1664305524.2005944,42,-0.9804089665412903
1664305527.3486536,43,-0.9841604828834534
1664305530.5278127,44,-0.984747588634491
1664305533.7098475,45,-0.9886883497238159
1664305536.8737519,46,-0.9912782907485962
1664305540.0407543,47,-0.9947856664657593
1664305543.2476816,48,-0.996021032333374
1664305546.4021204,49,-0.997180163860321
1664305549.6003335,50,-0.9996420741081238
1664305552.8599198,51,-1.001223087310791
1664305555.992303,52,-1.0037868022918701
1664305559.144331,53,-1.005260705947876
1664305562.2775772,54,-1.0088846683502197
1664305565.4239037,55,-1.0102978944778442
1664305568.6613193,56,-1.0110833644866943
1664305571.8710907,57,-1.0170555114746094
1664305575.0433092,58,-1.0151385068893433
1664305578.2135894,59,-1.014412760734558
1664305581.339541,60,-1.0200307369232178
1664305584.5124426,61,-1.0211116075515747
1664305587.6752486,62,-1.02367103099823
1664305590.8572047,63,-1.0240014791488647
1664305594.0152981,64,-1.0289181470870972
1664305597.1242638,65,-1.0294079780578613
1664305600.3054342,66,-1.0285388231277466
1664305603.4569254,67,-1.0319960117340088
1664305606.6373842,68,-1.0341717004776
1664305609.8088465,69,-1.0343421697616577
1664305612.9772182,70,-1.0336451530456543
1664305616.1494105,71,-1.0369036197662354
1664305619.2841735,72,-1.0389080047607422
1664305622.4357173,73,-1.0411416292190552
1664305625.6171947,74,-1.0410302877426147
1664305628.8004775,75,-1.0438930988311768
1664305631.9279177,76,-1.0445888042449951
1664305635.1075733,77,-1.0443174839019775
1664305638.259426,78,-1.0426987409591675
1664305641.5144968,79,-1.0483980178833008
1664305644.704963,80,-1.0475609302520752
1664305647.8770764,81,-1.0481616258621216
1664305651.1004357,82,-1.0525044202804565
1664305654.27869,83,-1.0507200956344604
1664305657.4363785,84,-1.0527817010879517
1664305660.6344893,85,-1.0541549921035767
1664305663.804871,86,-1.0541008710861206
1664305666.9623218,87,-1.0571444034576416
1664305670.1521976,88,-1.0571743249893188
1664305673.3338108,89,-1.0598888397216797
1664305676.522452,90,-1.0598781108856201
1664305679.6874788,91,-1.0614005327224731
1664305682.8421044,92,-1.0600045919418335
1664305686.0091302,93,-1.060747504234314
1664305689.1754413,94,-1.062475323677063
1664305692.3487754,95,-1.0616002082824707
1664305695.5331767,96,-1.066446304321289
1664305698.7244983,97,-1.063086748123169
1664305701.9999976,98,-1.0651421546936035
1664305705.1925635,99,-1.0668460130691528
1664305708.375567,100,-1.0679972171783447
1664305711.5747914,101,-1.0704710483551025
1664305714.7440197,102,-1.0706413984298706
1664305717.876955,103,-1.0700201988220215
1664305721.024479,104,-1.0723994970321655
1664305724.1783335,105,-1.071184515953064
1664305727.3258362,106,-1.0714322328567505
1664305730.457518,107,-1.0717148780822754
1664305733.7518384,108,-1.07240891456604
1664305736.9367287,109,-1.0716843605041504
1664305740.1079047,110,-1.075670599937439
1664305743.3197525,111,-1.0760061740875244
1664305746.4817696,112,-1.075795292854309
1664305749.6385818,113,-1.0770585536956787
1664305752.8044572,114,-1.0755671262741089
1664305755.9561954,115,-1.079909086227417
1664305759.125327,116,-1.0800126791000366
1664305762.2282321,117,-1.0772839784622192
1664305765.4200413,118,-1.0812989473342896
1664305768.6021748,119,-1.080755591392517
1664305771.76684,120,-1.078140139579773
1664305774.9586766,121,-1.0808433294296265
1664305778.1343548,122,-1.0831632614135742
1664305781.3109565,123,-1.0816574096679688
1664305784.4911542,124,-1.0818334817886353
1664305787.6531417,125,-1.0836422443389893
1664305790.81944,126,-1.083655834197998
1664305793.988663,127,-1.0826882123947144
1664305797.141183,128,-1.0837808847427368
1664305800.2793612,129,-1.0857715606689453
1664305803.4199054,130,-1.0861097574234009
1664305806.6118867,131,-1.083707332611084
1664305809.7640452,132,-1.0846959352493286
1664305812.9037242,133,-1.0875526666641235
1664305816.070508,134,-1.0866354703903198
1664305819.253251,135,-1.0865089893341064
1664305822.5611017,136,-1.086795687675476
1664305825.7390807,137,-1.0891371965408325
1664305828.949511,138,-1.0903003215789795
1664305832.1420457,139,-1.089913249015808
1664305835.3035595,140,-1.0904521942138672
1664305838.4641418,141,-1.0899503231048584
1664305841.670321,142,-1.0904407501220703
1664305844.8767304,143,-1.0894323587417603
1664305848.0704408,144,-1.0895406007766724
1664305851.2814984,145,-1.0896921157836914
1664305854.4055738,146,-1.0929404497146606
1664305857.534251,147,-1.092769980430603
1664305860.6956408,148,-1.0910214185714722
1664305863.8000317,149,-1.092208743095398
1664305866.9042754,150,-1.0948823690414429
1664305870.0935874,151,-1.0942978858947754
1664305873.2954633,152,-1.0927128791809082
1664305876.46726,153,-1.0945602655410767
1664305879.6572175,154,-1.0949567556381226
1664305882.8613617,155,-1.095619559288025
1664305886.0308876,156,-1.0947009325027466
1664305889.1697555,157,-1.0952244997024536
1664305892.2704675,158,-1.0949385166168213
1664305895.449519,159,-1.0958725214004517
1664305898.621464,160,-1.0960547924041748
1664305901.790268,161,-1.0971535444259644
1664305904.9657366,162,-1.0980371236801147
1664305908.1425014,163,-1.0970475673675537
1664305911.4158852,164,-1.0964022874832153
1664305914.6293209,165,-1.097877860069275
1664305917.7869987,166,-1.0973865985870361
1664305920.9804995,167,-1.0980932712554932
1664305924.1323318,168,-1.0974245071411133
1664305927.2555664,169,-1.0975571870803833
1664305930.3873456,170,-1.0989691019058228
1664305933.545824,171,-1.0968180894851685
1664305936.7332246,172,-1.0994545221328735
1664305939.8824337,173,-1.0985790491104126
1664305943.076126,174,-1.0993233919143677
1664305946.2580829,175,-1.0983542203903198
1664305949.435377,176,-1.0980879068374634
1664305952.6032598,177,-1.0993624925613403
1664305955.7725616,178,-1.0997651815414429
1664305958.9652367,179,-1.099967360496521
1664305962.109632,180,-1.1016737222671509
1664305965.2771292,181,-1.1007349491119385
1664305968.465725,182,-1.0994051694869995
1664305971.6529725,183,-1.1009869575500488
1664305974.8471973,184,-1.102061152458191
1664305978.036801,185,-1.10187828540802
1664305981.1869898,186,-1.1011756658554077
1664305984.3609607,187,-1.1008656024932861
1664305987.5069299,188,-1.1016167402267456
1664305990.6229563,189,-1.101379156112671
1664305993.8097937,190,-1.1009622812271118
1664305996.9708502,191,-1.1035780906677246
1664306000.1301355,192,-1.1036803722381592
1664306003.3812091,193,-1.1028518676757812
1664306006.5396836,194,-1.1032371520996094
1664306009.77328,195,-1.1048794984817505
1664306012.9592328,196,-1.1013332605361938
1664306016.133299,197,-1.103413462638855
1664306019.3025346,198,-1.1028392314910889
1664306022.4698083,199,-1.103533387184143
1664306025.652622,200,-1.1031137704849243
1664306028.9124815,201,-1.1053032875061035
1664306032.278143,202,-1.1033134460449219
1664306035.4954946,203,-1.1055786609649658
1664306038.7314596,204,-1.1043455600738525
1664306041.9054978,205,-1.103459358215332
1664306045.0651593,206,-1.1055318117141724
1664306048.2433703,207,-1.1046046018600464
1664306051.4639175,208,-1.105054259300232
1664306054.6304927,209,-1.106002926826477
1664306057.9064944,210,-1.103390097618103
1664306061.2870276,211,-1.1052485704421997
1664306064.5069876,212,-1.1050313711166382
1664306067.7138233,213,-1.1078096628189087
1664306070.8561027,214,-1.1060796976089478
1664306074.0076625,215,-1.1059318780899048
1664306077.1847918,216,-1.1060693264007568
1664306080.3393114,217,-1.1050076484680176
1664306083.5262964,218,-1.104005217552185
1664306086.8913567,219,-1.1063810586929321
1664306090.2529635,220,-1.1067174673080444
1664306093.3854082,221,-1.1078307628631592
1664306096.712834,222,-1.1074883937835693
1664306100.1258092,223,-1.1068029403686523
1664306103.259323,224,-1.1075489521026611
1664306106.4647493,225,-1.1056886911392212
1664306109.7236156,226,-1.1090949773788452
1664306112.892424,227,-1.1081030368804932
1664306116.0795958,228,-1.1068791151046753
1664306119.251327,229,-1.1069227457046509
1664306122.4052596,230,-1.1090773344039917
1664306125.5992117,231,-1.1072639226913452
1664306128.8024538,232,-1.1055556535720825
1664306132.019027,233,-1.1065361499786377
1664306135.1656487,234,-1.1070252656936646
1664306138.3426085,235,-1.1088547706604004
1664306141.5285203,236,-1.1054936647415161
1664306144.6913142,237,-1.1070220470428467
1664306147.860798,238,-1.1079204082489014
1664306151.0656705,239,-1.1100550889968872
1664306154.2258284,240,-1.1087067127227783
1664306157.4031925,241,-1.109374761581421
1664306160.5999157,242,-1.1075878143310547
1664306163.7438874,243,-1.1101276874542236
1664306166.891406,244,-1.109447717666626
1664306170.0886688,245,-1.109947919845581
1664306173.2641864,246,-1.1082533597946167
1664306176.4483728,247,-1.1094039678573608
1664306179.6288135,248,-1.1080622673034668
1664306182.824113,249,-1.1082206964492798
1664306186.0015764,250,-1.110821008682251
1664306189.2639163,251,-1.108938217163086
1664306192.4291759,252,-1.110649585723877
1664306195.591456,253,-1.1081969738006592
1664306198.730318,254,-1.11013925075531
1664306201.8814945,255,-1.1089513301849365
1664306205.0504363,256,-1.1088868379592896
1664306208.238153,257,-1.1104135513305664
1664306211.3877885,258,-1.1112722158432007
1664306214.5538595,259,-1.1111077070236206
1664306217.763253,260,-1.1102882623672485
1664306220.9528716,261,-1.109771966934204
1664306224.1691146,262,-1.1103466749191284
1664306227.3280158,263,-1.1111363172531128
1664306230.4829404,264,-1.1096917390823364
1664306233.6751013,265,-1.1095503568649292
1664306236.837975,266,-1.1085723638534546
1664306240.032058,267,-1.1118136644363403
1664306243.2141893,268,-1.1096969842910767
1664306246.374129,269,-1.110114336013794
1664306249.5537803,270,-1.110507845878601
1664306252.7624006,271,-1.1103702783584595
1664306255.9621418,272,-1.1109509468078613
1664306259.1593523,273,-1.1105529069900513
1664306262.3494313,274,-1.1107268333435059
1664306265.5278087,275,-1.109595537185669
1664306268.7275302,276,-1.1111177206039429
1664306272.037772,277,-1.1114150285720825
1664306275.2233012,278,-1.1119428873062134
1664306278.5654936,279,-1.1127915382385254
1664306281.788054,280,-1.1123664379119873
1664306284.993302,281,-1.1110105514526367
1664306288.1681118,282,-1.1109082698822021
1664306291.3455021,283,-1.110870599746704
1664306294.5126057,284,-1.1117900609970093
1664306297.7197065,285,-1.1101040840148926
1664306300.887086,286,-1.1117204427719116
1664306304.0902698,287,-1.1113290786743164
1664306307.256608,288,-1.1116375923156738
1664306310.4210746,289,-1.11093270778656
1664306313.657916,290,-1.1112157106399536
1664306316.8685975,291,-1.1098111867904663
1664306320.0578213,292,-1.1118532419204712
1664306323.252519,293,-1.1107875108718872
1664306326.4327257,294,-1.1118602752685547
1664306329.606653,295,-1.1108580827713013
1664306332.7145607,296,-1.1125540733337402
1664306335.8567073,297,-1.111586570739746
1664306338.9989676,298,-1.1132168769836426
1664306342.1609547,299,-1.1117018461227417
1664306345.3162808,300,-1.1121727228164673
1664306348.532257,301,-1.1098661422729492
1664306351.7145877,302,-1.1116853952407837
1664306354.8543422,303,-1.1108243465423584
1664306358.0018775,304,-1.111765742301941
1664306361.2289956,305,-1.1117645502090454
1664306364.406858,306,-1.1110161542892456
1664306367.6740322,307,-1.1108801364898682
1664306370.7814565,308,-1.1127877235412598
1664306373.991351,309,-1.1128469705581665
1664306377.1919065,310,-1.1125612258911133
1664306380.3392591,311,-1.1123099327087402
1664306383.4968958,312,-1.1123385429382324
1664306386.691123,313,-1.1124566793441772
1664306389.8836498,314,-1.1123807430267334
1664306393.0528276,315,-1.1130304336547852
1664306396.2309568,316,-1.1119751930236816
1664306399.3662825,317,-1.113722324371338
1664306402.5161939,318,-1.1138479709625244
1664306405.6939917,319,-1.1147061586380005
1664306408.8528402,320,-1.1141619682312012
1664306412.078658,321,-1.1123871803283691
1664306415.2292185,322,-1.1125390529632568
1664306418.3462687,323,-1.1115504503250122
1664306421.5202565,324,-1.11171293258667
1664306424.701711,325,-1.1124463081359863
1664306427.886557,326,-1.1141760349273682
1664306431.0362513,327,-1.113732933998108
1664306434.2294805,328,-1.113479495048523
1664306437.430882,329,-1.1132662296295166
1664306440.5583687,330,-1.1140083074569702
1664306443.744658,331,-1.1123931407928467
1664306446.9098356,332,-1.1128615140914917
1664306450.1026719,333,-1.1136291027069092
1664306453.2437565,334,-1.1139189004898071
1664306456.3990922,335,-1.1140470504760742
1664306459.6298306,336,-1.1134700775146484
1664306462.828089,337,-1.1123160123825073
1664306465.981057,338,-1.1138617992401123
1664306469.1312222,339,-1.1124413013458252
1664306472.266756,340,-1.1133580207824707
1664306475.4063065,341,-1.115099549293518
1664306478.5885828,342,-1.1151654720306396
1664306481.7936785,343,-1.1130774021148682
1664306484.9851813,344,-1.113535761833191
1664306488.1796198,345,-1.115133285522461
1664306491.339269,346,-1.114436149597168
1664306494.5005374,347,-1.1138319969177246
1664306497.6639352,348,-1.1149934530258179
1664306500.8544357,349,-1.113439679145813
1664306504.0368302,350,-1.1153289079666138
1664306507.215719,351,-1.1144375801086426
1664306510.3506978,352,-1.1142044067382812
1664306513.5147061,353,-1.1135849952697754
1664306516.740561,354,-1.1136431694030762
