Wall time,Step,Value
1660077821.665037,0,7.115109920501709
1660078130.0925167,1,9.323246955871582
1660078438.242429,2,10.693110466003418
1660078746.819559,3,12.001636505126953
1660079055.2152975,4,13.882641792297363
1660079363.6707199,5,14.250664710998535
1660079672.6063414,6,16.254344940185547
1660079981.511353,7,18.196687698364258
1660080289.447643,8,18.68738555908203
1660080598.252754,9,20.384380340576172
1660080906.565841,10,20.93641471862793
1660081215.331014,11,21.018198013305664
1660081524.0165465,12,22.63340950012207
1660081832.7397785,13,22.77652931213379
1660082141.4178786,14,22.87875747680664
1660082450.2449007,15,24.166837692260742
1660082759.0949044,16,25.25046157836914
1660083068.1861024,17,25.679821014404297
1660083377.0342221,18,25.39358139038086
1660083685.746434,19,27.35637092590332
1660083994.5105968,20,29.03291893005371
1660084303.5861034,21,28.051525115966797
1660084612.2711527,22,29.27826690673828
1660084920.967136,23,30.975261688232422
1660085229.9575884,24,31.241056442260742
1660085538.5199044,25,31.220611572265625
1660085847.2228534,26,32.05888366699219
1660086155.724351,27,30.995708465576172
1660086464.793262,28,34.02167510986328
1660086774.244405,29,34.00122833251953
1660087082.997269,30,32.897159576416016
1660087391.6374588,31,35.35064697265625
1660087700.6364958,32,35.49376678466797
1660088009.1295023,33,35.69822311401367
1660088317.440678,34,35.45287322998047
1660088626.5780118,35,36.14802932739258
1660088935.3240516,36,37.742794036865234
1660089244.287206,37,37.12942123413086
1660089552.8221292,38,38.765079498291016
1660089861.6100433,39,39.33755874633789
1660090170.1307478,40,39.950931549072266
1660090478.3464901,41,39.460235595703125
1660090786.8203995,42,40.72787094116211
1660091095.0742488,43,40.72787094116211
1660091403.7007234,44,42.69065856933594
1660091712.4455495,45,41.60703659057617
1660092020.9198775,46,41.60703659057617
1660092329.4641354,47,42.54753875732422
1660092637.915298,48,43.07912826538086
1660092946.3784544,49,42.91556167602539
1660093255.3818574,50,43.83561706542969
1660093564.5387847,51,43.75383377075195
1660093872.8702993,52,44.673892974853516
1660094181.223775,53,43.71294403076172
1660094490.0320196,54,43.85606384277344
1660094798.1376019,55,45.67573165893555
1660095104.9177902,56,43.93784713745117
1660095411.2815664,57,45.65528869628906
1660095717.9943416,58,44.42854309082031
1660096024.4662282,59,46.391334533691406
1660096330.9998999,60,46.20732116699219
1660096637.5372024,61,45.75751495361328
1660096944.101175,62,47.08648681640625
1660097250.7278256,63,47.12738037109375
1660097557.500017,64,46.473114013671875
1660097864.194157,65,47.76119613647461
1660098170.720664,66,47.556739807128906
1660098477.2972078,67,48.313228607177734
1660098785.3671508,68,47.74074935913086
1660099094.3659685,69,48.08832931518555
1660099403.4651794,70,48.29278564453125
1660099710.722933,71,48.5176887512207
1660100017.380331,72,48.211002349853516
1660100324.1555,73,48.29278564453125
1660100630.9650562,74,48.987937927246094
1660100937.487483,75,48.96749496459961
1660101244.1951795,76,47.699859619140625
1660101550.9132566,77,49.66264724731445
1660101857.782084,78,48.76303482055664
1660102164.67136,79,48.41545867919922
1660102471.5234373,80,50.010223388671875
1660102778.130188,81,48.29278564453125
1660103084.8875093,82,47.29094314575195
1660103391.8546927,83,48.76303482055664
1660103698.7950006,84,49.17195129394531
1660104005.5960557,85,48.701698303222656
1660104312.7234676,86,48.80392837524414
1660104620.31407,87,47.76119613647461
1660104927.9855466,88,48.211002349853516
1660105235.1996582,89,48.25189208984375
