Wall time,Step,Value
1660037550.057941,0,4.283581256866455
1660037835.3872566,1,4.220371246337891
1660038119.6919339,2,4.157829284667969
1660038401.730135,3,4.0935444831848145
1660038684.3741603,4,3.9900360107421875
1660038965.8771374,5,3.8336498737335205
1660039248.4305341,6,3.711616277694702
1660039531.6910782,7,3.6027274131774902
1660039815.2967093,8,3.5211102962493896
1660040098.7997558,9,3.422152519226074
1660040382.5975344,10,3.299987554550171
1660040666.0159082,11,3.3038744926452637
1660040950.4698713,12,3.23042893409729
1660041232.6673415,13,3.19315505027771
1660041515.808957,14,3.110748291015625
1660041799.030325,15,3.0454421043395996
1660042082.9223886,16,3.0062596797943115
1660042365.0837927,17,2.9596025943756104
1660042648.6055982,18,2.9672465324401855
1660042929.995219,19,2.8921120166778564
1660043212.705442,20,2.8470346927642822
1660043495.4170022,21,2.826612949371338
1660043778.4384797,22,2.797985553741455
1660044060.297775,23,2.7677338123321533
1660044343.0563283,24,2.6934525966644287
1660044625.0665925,25,2.668623685836792
1660044907.9652183,26,2.6463871002197266
1660045192.388541,27,2.660829544067383
1660045475.9208286,28,2.6139750480651855
1660045759.1084392,29,2.5771024227142334
1660046043.37264,30,2.5671486854553223
1660046324.8030186,31,2.493328332901001
1660046606.8666317,32,2.487656593322754
1660046890.227719,33,2.481289863586426
1660047172.6332176,34,2.456209182739258
1660047454.7620714,35,2.4458444118499756
1660047736.668783,36,2.410745859146118
1660048018.3809469,37,2.4052345752716064
1660048301.1599674,38,2.3673014640808105
1660048584.4265182,39,2.3140997886657715
1660048867.9160476,40,2.301462173461914
1660049149.9126208,41,2.302959680557251
1660049432.914868,42,2.2732291221618652
1660049715.5205739,43,2.236565351486206
1660049998.1550145,44,2.2232742309570312
1660050280.3280723,45,2.2115166187286377
1660050563.0726287,46,2.1429483890533447
1660050846.5146763,47,2.1288349628448486
1660051128.356426,48,2.1098854541778564
1660051411.5971942,49,2.142791509628296
1660051694.9067366,50,2.0981462001800537
1660051976.6574156,51,2.1106553077697754
1660052258.8498895,52,2.0881571769714355
1660052540.978822,53,2.05871844291687
1660052822.3765793,54,2.0592844486236572
1660053104.9125013,55,2.0517590045928955
1660053388.9760804,56,2.048337697982788
1660053673.1418204,57,2.0206785202026367
1660053954.4661875,58,2.020169734954834
1660054237.8115716,59,2.0432496070861816
1660054519.4482138,60,2.0201287269592285
1660054802.3446648,61,2.020556926727295
1660055085.5679445,62,2.0170624256134033
1660055368.8200436,63,1.9988964796066284
1660055651.4467955,64,2.0331170558929443
1660055932.763166,65,2.0088093280792236
1660056213.8899539,66,1.987013578414917
1660056496.1133642,67,2.028376340866089
1660056778.674532,68,2.0142600536346436
1660057061.4263651,69,1.9978930950164795
1660057343.4503877,70,2.014573812484741
1660057625.8984344,71,2.079741954803467
1660057906.9904253,72,2.067826986312866
1660058189.2253776,73,2.0781943798065186
1660058470.896907,74,2.093221664428711
1660058751.6095688,75,2.0997135639190674
1660059035.503222,76,2.1216516494750977
1660059317.1199281,77,2.166490316390991
1660059599.8868675,78,2.1865956783294678
1660059882.3481698,79,2.2306065559387207
1660060166.3441472,80,2.2448384761810303
1660060448.7321582,81,2.255415439605713
1660060733.553377,82,2.304018974304199
1660061016.7969162,83,2.3556199073791504
1660061300.1378646,84,2.32698655128479
1660061584.2889724,85,2.363602638244629
1660061867.4040816,86,2.4084675312042236
1660062150.546968,87,2.4777610301971436
1660062432.406504,88,2.4780874252319336
1660062714.9022198,89,2.5289924144744873
1660062998.3803113,90,2.5357160568237305
1660063280.150577,91,2.5961084365844727
1660063562.8273969,92,2.629812002182007
1660063846.144428,93,2.659935712814331
1660064129.6484575,94,2.7143847942352295
1660064412.6400049,95,2.7884929180145264
1660064694.6837988,96,2.847628593444824
1660064977.204587,97,2.9309353828430176
1660065259.6891782,98,2.874886989593506
1660065542.9709597,99,2.95627498626709
1660065825.6546469,100,2.949524164199829
1660066107.7423031,101,3.0422229766845703
1660066389.529051,102,3.1080081462860107
1660066671.538754,103,3.064439296722412
1660066953.2175863,104,3.18412184715271
1660067236.5052211,105,3.2123372554779053
1660067518.3573272,106,3.289665937423706
1660067800.428665,107,3.2988195419311523
1660068083.4167411,108,3.2903318405151367
1660068366.4573328,109,3.3081681728363037
1660068647.9227512,110,3.3535895347595215
1660068930.6881886,111,3.374746084213257
1660069213.9025738,112,3.4197819232940674
1660069497.3798249,113,3.4371044635772705
1660069778.8777933,114,3.457568407058716
1660070060.8068094,115,3.4827611446380615
1660070342.190885,116,3.5032880306243896
1660070624.866705,117,3.5210165977478027
1660070907.2105412,118,3.529418706893921
1660071188.7589924,119,3.558750629425049
1660071472.1763005,120,3.582688570022583
1660071753.3589838,121,3.583559036254883
1660072036.6239176,122,3.6161394119262695
1660072317.9024293,123,3.6129462718963623
1660072599.9108977,124,3.6306114196777344
1660072881.7898252,125,3.634417772293091
1660073164.2615216,126,3.670793294906616
1660073446.113451,127,3.660823106765747
1660073729.1494272,128,3.6740872859954834
1660074013.2912993,129,3.6854984760284424
1660074295.4673796,130,3.6924924850463867
1660074577.5717566,131,3.710750102996826
1660074860.6150522,132,3.719965696334839
1660075143.9502816,133,3.7399954795837402
1660075427.092542,134,3.720994710922241
1660075709.0650704,135,3.7516984939575195
1660075991.8463538,136,3.7609710693359375
1660076273.078524,137,3.7628862857818604
