Wall time,Step,Value
1658694993.189856,250,5.3125
1658695128.5866132,750,6.765625
1658695142.240979,800,6.921875
1658695183.2891293,950,6.8125
1658695214.0743062,1040,7.890625
1658695227.7210972,1090,7.890625
1658695255.023585,1190,7.953125
1658695310.0686986,1390,7.984375
1658695323.979888,1440,8.203125
1658695520.079058,2130,9.234375
1658695615.9048684,2480,9.296875
1658695629.5903308,2530,10.046875
1658695643.2817862,2580,9.5625
1658695711.6318097,2830,11.015625
1658695810.7411559,3170,10.625
1658695838.0662143,3270,10.59375
1658695851.8828273,3320,11.1875
1658695893.0604966,3470,11.5625
1658695906.7564583,3520,11.125
1658695948.1629593,3670,11.703125
1658695961.8079796,3720,11.28125
1658696061.148826,4060,12.28125
1658696130.0419745,4310,12.84375
1658696225.9542496,4660,13.65625
1658696380.0219517,5200,13.359375
1658696434.8545375,5400,14.265625
1658696475.8743138,5550,15.03125
1658696489.621765,5600,14.359375
1658696629.7787852,6090,15.390625
1658696698.677106,6340,14.375
1658696753.634104,6540,14.421875
1658696767.373572,6590,15.265625
1658696794.8094752,6690,15.4375
1658696822.219208,6790,16.09375
1658696921.0696256,7130,16.75
1658696934.8180249,7180,15.546875
1658697031.016376,7530,16.8125
1658697058.5806453,7630,16.265625
1658697072.302043,7680,17.578125
1658697113.5301807,7830,16.515625
1658697226.1725175,8220,17.75
1658697267.3293927,8370,18.46875
1658697294.6899817,8470,17.578125
1658697322.1765275,8570,17.265625
1658697404.5537698,8870,18.5625
1658697434.9996376,8960,18.703125
1658697448.654019,9010,19.140625
1658697517.7727048,9260,18.875
1658697613.9250255,9610,20.015625
1658697627.666814,9660,18.3125
1658697641.3691885,9710,19.3125
1658697712.8813598,9950,20.6875
1658697726.595138,10000,19.796875
1658697740.358768,10050,20.0
1658697836.5891495,10400,20.578125
1658697877.868292,10550,21.515625
1658697891.6132731,10600,20.78125
1658697905.3757503,10650,20.390625
1658697919.12344,10700,20.25
1658697946.6738992,10800,20.640625
1658698018.0263605,11040,21.8125
1658698045.4794354,11140,22.09375
1658698072.852723,11240,21.59375
1658698141.3462503,11490,21.453125
1658698155.1119888,11540,21.671875
1658698196.3561645,11690,21.515625
1658698282.0118153,11980,22.65625
1658698420.1298397,12480,23.328125
1658698489.0173712,12730,22.8125
1658698502.9315782,12780,22.203125
1658698516.6537318,12830,22.46875
1658698698.4164057,13470,23.4375
1658698712.2700574,13520,24.46875
1658698725.9804835,13570,23.328125
1658698894.1868534,14160,25.53125
1658698935.3793461,14310,24.03125
1658698962.8009582,14410,23.875
1658698990.2095904,14510,24.625
1658699045.2566576,14710,25.8125
1658699103.0167925,14900,26.03125
1658699144.205743,15050,26.25
1658699171.7700992,15150,24.703125
1658699240.4661555,15400,25.484375
1658699267.9146736,15500,25.40625
1658699281.8158846,15550,24.96875
1658699408.8482635,15990,25.296875
1658699436.2931697,16090,26.734375
1658699491.949741,16290,26.328125
1658699547.1047611,16490,27.0625
1658699574.6696832,16590,27.1875
1658699588.5849228,16640,26.765625
1658699629.7918727,16790,27.203125
1658699853.369827,17580,26.65625
1658699867.1007667,17630,27.265625
1658699952.7019246,17920,27.375
1658699980.2213218,18020,27.53125
1658699993.9915094,18070,28.3125
1658700076.5078573,18370,27.96875
1658700103.92285,18470,28.015625
1658700159.1063664,18670,27.671875
1658700230.916287,18910,29.03125
1658700258.6791704,19010,28.265625
1658700272.4075594,19060,29.859375
1658700286.136234,19110,27.875
1658700299.9462082,19160,28.609375
1658700451.859856,19710,30.046875
1658700578.763335,20150,29.484375
1658700634.0925217,20350,28.9375
1658700661.5615199,20450,28.9375
1658700730.4271843,20700,29.875
1658700816.3259013,20990,31.0
1658700843.9539888,21090,29.9375
1658700912.7977417,21340,29.765625
1658700981.8636346,21590,29.109375
1658700996.1638162,21640,31.375
1658701095.9740415,21980,30.9375
1658701109.7612333,22030,30.484375
1658701165.3219802,22230,30.828125
1658701304.1261861,22730,32.90625
1658701334.8800442,22820,30.734375
1658701362.4578655,22920,32.421875
1658701417.7923474,23120,29.859375
1658701431.5749476,23170,31.875
1658701459.5490637,23270,32.203125
1658701515.321385,23470,32.09375
1658701542.8439562,23570,32.625
1658701615.3806193,23810,32.046875
1658701684.4154346,24060,31.859375
1658701739.783633,24260,31.328125
